St. John's — Historical Average Length of Construction (in months) by Dwelling Type  
January 1990 to March 2024 Rental
,Single,Semi-Detached,Row,Apartment,All,
Nov 1993,**,**,**,0.0,0.0,
Dec 1993,**,0.0,**,0.0,0.0,
Jan 1994,**,**,5.0,**,5.0,
Feb 1994,5.0,**,**,7.0,6.3,
Mar 1994,**,**,**,**,**,
Apr 1994,**,4.0,**,46.0,35.5,
May 1994,**,**,7.0,**,7.0,
Jun 1994,**,**,7.0,4.0,6.4,
Jul 1994,**,**,**,**,**,
Aug 1994,**,**,8.0,**,8.0,
Sep 1994,**,**,**,**,**,
Oct 1994,**,**,4.0,**,4.0,
Nov 1994,**,**,**,**,**,
Dec 1994,**,**,**,**,**,
Jan 1995,**,**,**,**,**,
Feb 1995,**,**,**,**,**,
Mar 1995,**,**,**,**,**,
Apr 1995,**,**,**,**,**,
May 1995,**,**,**,**,**,
Jun 1995,**,**,**,**,**,
Jul 1995,**,**,**,**,**,
Aug 1995,**,**,**,**,**,
Sep 1995,**,**,**,**,**,
Oct 1995,**,**,**,**,**,
Nov 1995,**,**,**,**,**,
Dec 1995,**,**,**,**,**,
Jan 1996,**,**,**,**,**,
Feb 1996,**,**,**,**,**,
Mar 1996,**,**,**,**,**,
Apr 1996,**,**,**,**,**,
May 1996,**,**,**,**,**,
Jun 1996,**,**,**,**,**,
Jul 1996,**,**,**,**,**,
Aug 1996,**,**,**,**,**,
Sep 1996,**,**,**,**,**,
Oct 1996,**,**,**,**,**,
Nov 1996,**,**,**,**,**,
Dec 1996,**,**,**,**,**,
Jan 1997,**,**,**,**,**,
Feb 1997,**,**,**,**,**,
Mar 1997,**,**,**,**,**,
Apr 1997,**,**,**,**,**,
May 1997,**,**,**,**,**,
Jun 1997,**,**,**,**,**,
Jul 1997,**,**,**,**,**,
Aug 1997,**,**,**,**,**,
Sep 1997,**,**,**,**,**,
Oct 1997,**,**,**,**,**,
Nov 1997,**,**,**,**,**,
Dec 1997,**,**,**,**,**,
Jan 1998,**,**,**,**,**,
Feb 1998,**,**,**,**,**,
Mar 1998,**,**,**,**,**,
Apr 1998,**,**,**,**,**,
May 1998,**,**,**,**,**,
Jun 1998,**,**,**,**,**,
Jul 1998,**,**,**,**,**,
Aug 1998,**,**,**,**,**,
Sep 1998,**,**,**,**,**,
Oct 1998,**,**,**,**,**,
Nov 1998,**,**,**,**,**,
Dec 1998,**,**,**,**,**,
Jan 1999,**,**,**,**,**,
Feb 1999,3.5,**,**,0.0,1.8,
Mar 1999,**,**,**,**,**,
Apr 1999,**,**,**,**,**,
May 1999,**,**,**,**,**,
Jun 1999,**,**,**,**,**,
Jul 1999,8.0,**,**,**,8.0,
Aug 1999,**,**,**,**,**,
Sep 1999,**,**,**,**,**,
Oct 1999,**,**,**,**,**,
Nov 1999,**,**,**,**,**,
Dec 1999,**,**,**,**,**,
Jan 2000,**,**,**,**,**,
Feb 2000,**,**,**,**,**,
Mar 2000,**,**,**,**,**,
Apr 2000,**,**,**,**,**,
May 2000,**,**,**,**,**,
Jun 2000,**,**,**,**,**,
Jul 2000,**,**,**,**,**,
Aug 2000,**,**,**,**,**,
Sep 2000,**,**,**,**,**,
Oct 2000,**,**,**,**,**,
Nov 2000,**,**,**,**,**,
Dec 2000,**,**,**,**,**,
Jan 2001,**,**,**,**,**,
Feb 2001,**,**,**,**,**,
Mar 2001,**,**,**,**,**,
Apr 2001,**,**,**,**,**,
May 2001,**,**,**,**,**,
Jun 2001,**,**,**,**,**,
Jul 2001,**,**,**,**,**,
Aug 2001,**,**,**,**,**,
Sep 2001,**,**,**,**,**,
Oct 2001,**,**,**,**,**,
Nov 2001,**,**,**,**,**,
Dec 2001,**,**,**,**,**,
Jan 2002,**,**,**,**,**,
Feb 2002,**,**,**,**,**,
Mar 2002,**,**,**,**,**,
Apr 2002,**,**,**,**,**,
May 2002,**,**,**,**,**,
Jun 2002,**,**,**,**,**,
Jul 2002,**,**,**,**,**,
Aug 2002,**,**,**,**,**,
Sep 2002,**,**,**,**,**,
Oct 2002,**,**,**,**,**,
Nov 2002,**,**,**,**,**,
Dec 2002,**,**,**,**,**,
Jan 2003,**,**,**,**,**,
Feb 2003,**,**,**,**,**,
Mar 2003,**,**,**,10.0,10.0,
Apr 2003,**,**,**,**,**,
May 2003,**,**,**,**,**,
Jun 2003,**,**,**,**,**,
Jul 2003,**,**,**,**,**,
Aug 2003,**,**,**,**,**,
Sep 2003,**,**,**,**,**,
Oct 2003,**,**,**,**,**,
Nov 2003,**,**,**,**,**,
Dec 2003,**,**,**,**,**,
Jan 2004,**,**,**,**,**,
Feb 2004,**,**,**,**,**,
Mar 2004,**,**,**,**,**,
Apr 2004,**,**,**,**,**,
May 2004,**,**,**,**,**,
Jun 2004,**,**,**,**,**,
Jul 2004,**,**,**,**,**,
Aug 2004,**,**,**,**,**,
Sep 2004,**,**,**,**,**,
Oct 2004,**,**,**,**,**,
Nov 2004,**,**,13.0,**,13.0,
Dec 2004,**,**,**,**,**,
Jan 2005,**,**,**,**,**,
Feb 2005,**,**,**,**,**,
Mar 2005,**,**,**,**,**,
Apr 2005,**,**,**,**,**,
May 2005,**,**,**,**,**,
Jun 2005,**,**,**,**,**,
Jul 2005,**,**,**,**,**,
Aug 2005,**,**,**,**,**,
Sep 2005,**,**,**,**,**,
Oct 2005,**,**,**,**,**,
Nov 2005,**,**,**,**,**,
Dec 2005,**,**,**,**,**,
Jan 2006,**,**,**,**,**,
Feb 2006,**,**,**,**,**,
Mar 2006,**,**,**,**,**,
Apr 2006,**,**,**,**,**,
May 2006,**,**,**,**,**,
Jun 2006,**,**,**,**,**,
Jul 2006,**,**,**,**,**,
Aug 2006,**,**,**,**,**,
Sep 2006,**,**,**,**,**,
Oct 2006,**,**,**,**,**,
Nov 2006,**,**,**,**,**,
Dec 2006,**,**,**,**,**,
Jan 2007,**,**,**,**,**,
Feb 2007,**,**,**,7.0,7.0,
Mar 2007,**,**,**,**,**,
Apr 2007,**,**,**,**,**,
May 2007,**,**,**,**,**,
Jun 2007,**,**,**,6.0,6.0,
Jul 2007,**,**,**,**,**,
Aug 2007,**,**,**,**,**,
Sep 2007,**,**,**,**,**,
Oct 2007,**,**,**,**,**,
Nov 2007,**,**,**,**,**,
Dec 2007,**,**,**,**,**,
Jan 2008,**,**,**,**,**,
Feb 2008,**,**,**,**,**,
Mar 2008,**,**,**,**,**,
Apr 2008,**,**,**,**,**,
May 2008,**,**,**,**,**,
Jun 2008,**,**,**,**,**,
Jul 2008,**,**,**,**,**,
Aug 2008,**,**,**,**,**,
Sep 2008,**,**,**,**,**,
Oct 2008,**,**,**,**,**,
Nov 2008,**,**,**,**,**,
Dec 2008,**,**,**,**,**,
Jan 2009,**,**,**,8.0,8.0,
Feb 2009,**,**,**,**,**,
Mar 2009,**,**,**,**,**,
Apr 2009,**,**,**,**,**,
May 2009,**,**,**,**,**,
Jun 2009,**,**,**,**,**,
Jul 2009,**,**,**,11.0,11.0,
Aug 2009,**,**,**,**,**,
Sep 2009,**,**,**,**,**,
Oct 2009,**,**,**,**,**,
Nov 2009,**,**,**,**,**,
Dec 2009,**,**,**,**,**,
Jan 2010,**,**,**,**,**,
Feb 2010,**,**,**,**,**,
Mar 2010,**,**,**,**,**,
Apr 2010,**,**,**,**,**,
May 2010,**,**,**,**,**,
Jun 2010,**,11.0,**,**,11.0,
Jul 2010,**,**,**,**,**,
Aug 2010,**,**,8.1,**,8.1,
Sep 2010,**,**,**,**,**,
Oct 2010,**,4.0,**,**,4.0,
Nov 2010,**,**,**,**,**,
Dec 2010,**,6.0,**,**,6.0,
Jan 2011,**,**,**,**,**,
Feb 2011,**,**,**,**,**,
Mar 2011,**,**,**,**,**,
Apr 2011,**,**,**,**,**,
May 2011,**,**,**,**,**,
Jun 2011,**,**,9.0,**,9.0,
Jul 2011,**,**,**,**,**,
Aug 2011,**,**,**,**,**,
Sep 2011,**,**,**,**,**,
Oct 2011,**,**,**,**,**,
Nov 2011,**,**,**,**,**,
Dec 2011,**,**,**,**,**,
Jan 2012,**,**,**,**,**,
Feb 2012,**,**,**,**,**,
Mar 2012,**,**,**,**,**,
Apr 2012,**,**,**,16.0,16.0,
May 2012,**,**,**,**,**,
Jun 2012,**,**,**,**,**,
Jul 2012,**,**,**,**,**,
Aug 2012,**,**,**,**,**,
Sep 2012,**,**,**,**,**,
Oct 2012,**,**,**,**,**,
Nov 2012,**,**,**,**,**,
Dec 2012,**,**,**,**,**,
Jan 2013,**,**,**,**,**,
Feb 2013,**,**,**,7.9,7.9,
Mar 2013,**,**,**,7.1,7.1,
Apr 2013,**,**,**,8.4,8.4,
May 2013,**,**,**,10.2,10.2,
Jun 2013,**,**,**,15.6,15.6,
Jul 2013,**,**,**,11.0,11.0,
Aug 2013,**,**,**,7.7,7.7,
Sep 2013,**,**,**,9.2,9.2,
Oct 2013,**,**,**,7.2,7.2,
Nov 2013,**,**,**,5.6,5.6,
Dec 2013,**,**,**,9.1,9.1,
Jan 2014,**,**,**,6.5,6.5,
Feb 2014,**,**,**,9.4,9.4,
Mar 2014,**,**,**,7.8,7.8,
Apr 2014,**,**,**,9.2,9.2,
May 2014,**,**,**,19.4,19.4,
Jun 2014,**,**,**,9.5,9.5,
Jul 2014,**,**,**,10.1,10.1,
Aug 2014,**,**,**,11.7,11.7,
Sep 2014,**,**,**,10.4,10.4,
Oct 2014,**,**,**,8.9,8.9,
Nov 2014,**,**,**,8.9,8.9,
Dec 2014,**,**,**,12.9,12.9,
Jan 2015,**,**,**,10.0,10.0,
Feb 2015,**,**,**,11.3,11.3,
Mar 2015,**,**,10.0,13.5,13.1,
Apr 2015,**,**,**,12.8,12.8,
May 2015,**,**,**,10.0,10.0,
Jun 2015,**,**,14.5,11.4,13.0,
Jul 2015,**,**,**,9.0,9.0,
Aug 2015,**,**,**,12.5,12.5,
Sep 2015,**,**,23.0,13.7,15.0,
Oct 2015,**,**,**,10.3,10.3,
Nov 2015,**,**,**,8.6,8.6,
Dec 2015,**,**,**,11.3,11.3,
Jan 2016,**,**,**,7.3,7.3,
Feb 2016,**,**,**,8.5,8.5,
Mar 2016,**,**,**,15.0,15.0,
Apr 2016,**,**,**,8.5,8.5,
May 2016,**,**,**,9.5,9.5,
Jun 2016,40.0,**,**,17.0,17.1,
Jul 2016,**,**,**,9.5,9.5,
Aug 2016,**,**,**,9.1,9.1,
Sep 2016,**,**,**,12.7,12.7,
Oct 2016,**,**,41.0,12.0,31.3,
Nov 2016,**,**,**,5.6,5.6,
Dec 2016,**,**,**,17.0,17.0,
Jan 2017,**,**,**,6.0,6.0,
Feb 2017,**,**,8.0,8.1,8.1,
Mar 2017,**,**,**,**,**,
Apr 2017,**,**,**,8.7,8.7,
May 2017,**,**,**,14.0,14.0,
Jun 2017,**,**,**,14.8,14.8,
Jul 2017,**,**,20.0,8.8,15.8,
Aug 2017,**,**,**,12.5,12.5,
Sep 2017,**,**,**,12.2,12.2,
Oct 2017,**,**,**,10.7,10.7,
Nov 2017,**,**,**,13.8,13.8,
Dec 2017,**,**,**,7.2,7.2,
Jan 2018,**,**,**,6.0,6.0,
Feb 2018,**,**,**,10.4,10.4,
Mar 2018,**,**,8.0,14.5,13.1,
Apr 2018,**,**,**,6.0,6.0,
May 2018,**,**,**,13.8,13.8,
Jun 2018,**,**,**,7.4,7.4,
Jul 2018,**,**,**,10.3,10.3,
Aug 2018,6.0,**,12.0,20.0,14.0,
Sep 2018,**,**,11.4,9.5,10.9,
Oct 2018,**,**,11.0,11.7,11.5,
Nov 2018,**,**,**,12.0,12.0,
Dec 2018,9.0,**,8.0,10.8,9.5,
Jan 2019,10.0,**,**,6.0,7.3,
Feb 2019,**,**,8.0,17.5,11.2,
Mar 2019,**,15.0,17.0,8.8,15.2,
Apr 2019,**,**,8.0,7.3,7.5,
May 2019,**,**,**,6.0,6.0,
Jun 2019,**,**,**,11.0,11.0,
Jul 2019,**,**,**,9.3,9.3,
Aug 2019,**,**,11.0,9.0,10.6,
Sep 2019,**,**,**,9.0,9.0,
Oct 2019,**,**,**,15.0,15.0,
Nov 2019,**,**,**,6.0,6.0,
Dec 2019,**,**,**,8.9,8.9,
Jan 2020,**,**,**,6.3,6.3,
Feb 2020,**,**,**,7.0,7.0,
Mar 2020,**,**,**,6.0,6.0,
Apr 2020,**,18.0,**,9.0,10.0,
May 2020,**,**,**,**,**,
Jun 2020,**,**,**,8.5,8.5,
Jul 2020,**,**,**,**,**,
Aug 2020,**,**,**,12.5,12.5,
Sep 2020,**,**,11.0,13.6,12.4,
Oct 2020,**,**,**,12.3,12.3,
Nov 2020,**,**,**,12.3,12.3,
Dec 2020,**,**,**,11.0,11.0,
Jan 2021,**,**,**,18.0,18.0,
Feb 2021,**,**,**,**,**,
Mar 2021,**,**,**,12.0,12.0,
Apr 2021,**,**,**,17.0,17.0,
May 2021,9.0,**,**,8.0,8.3,
Jun 2021,**,**,**,**,**,
Jul 2021,**,**,**,8.0,8.0,
Aug 2021,**,**,**,19.4,19.4,
Sep 2021,**,**,6.0,**,6.0,
Oct 2021,**,**,**,**,**,
Nov 2021,**,**,**,11.3,11.3,
Dec 2021,**,**,**,6.0,6.0,
Jan 2022,**,**,**,9.0,9.0,
Feb 2022,**,**,**,**,**,
Mar 2022,**,**,**,6.0,6.0,
Apr 2022,**,**,**,8.2,8.2,
May 2022,**,**,**,**,**,
Jun 2022,**,**,**,**,**,
Jul 2022,**,**,**,**,**,
Aug 2022,**,**,**,**,**,
Sep 2022,**,**,**,**,**,
Oct 2022,**,**,**,**,**,
Nov 2022,**,**,**,**,**,
Dec 2022,**,**,**,**,**,
Jan 2023,**,**,**,**,**,
Feb 2023,**,**,12.0,**,12.0,
Mar 2023,**,**,**,**,**,
Apr 2023,**,**,**,13.0,13.0,
May 2023,**,**,**,**,**,
Jun 2023,**,**,**,3.0,3.0,
Jul 2023,26.0,**,**,14.0,14.8,
Aug 2023,**,**,13.0,**,13.0,
Sep 2023,**,**,**,**,**,
Oct 2023,**,**,**,4.5,4.5,
Nov 2023,**,**,**,3.0,3.0,
Dec 2023,**,**,**,3.0,3.0,
Jan 2024,**,**,**,**,**,
Feb 2024,**,**,**,13.7,13.7,
Mar 2024,**,**,**,4.0,4.0,

Source,CMHC Starts and Completions Survey
