"GeoUID","Date","DateString","Dwelling Type","Value","Survey","Series"
"35527",1990-02-01,"1990/Q1","Single",66,"Scss","Completions"
"35527",1990-02-01,"1990/Q1","Semi-Detached",0,"Scss","Completions"
"35527",1990-02-01,"1990/Q1","Row",0,"Scss","Completions"
"35527",1990-02-01,"1990/Q1","Apartment",60,"Scss","Completions"
"35527",1990-02-01,"1990/Q1","All",126,"Scss","Completions"
"35527",1990-05-01,"1990/Q2","Single",77,"Scss","Completions"
"35527",1990-05-01,"1990/Q2","Semi-Detached",0,"Scss","Completions"
"35527",1990-05-01,"1990/Q2","Row",0,"Scss","Completions"
"35527",1990-05-01,"1990/Q2","Apartment",0,"Scss","Completions"
"35527",1990-05-01,"1990/Q2","All",77,"Scss","Completions"
"35527",1990-08-01,"1990/Q3","Single",29,"Scss","Completions"
"35527",1990-08-01,"1990/Q3","Semi-Detached",0,"Scss","Completions"
"35527",1990-08-01,"1990/Q3","Row",0,"Scss","Completions"
"35527",1990-08-01,"1990/Q3","Apartment",20,"Scss","Completions"
"35527",1990-08-01,"1990/Q3","All",49,"Scss","Completions"
"35527",1990-11-01,"1990/Q4","Single",72,"Scss","Completions"
"35527",1990-11-01,"1990/Q4","Semi-Detached",0,"Scss","Completions"
"35527",1990-11-01,"1990/Q4","Row",24,"Scss","Completions"
"35527",1990-11-01,"1990/Q4","Apartment",20,"Scss","Completions"
"35527",1990-11-01,"1990/Q4","All",116,"Scss","Completions"
"35527",1991-02-01,"1991/Q1","Single",31,"Scss","Completions"
"35527",1991-02-01,"1991/Q1","Semi-Detached",0,"Scss","Completions"
"35527",1991-02-01,"1991/Q1","Row",10,"Scss","Completions"
"35527",1991-02-01,"1991/Q1","Apartment",0,"Scss","Completions"
"35527",1991-02-01,"1991/Q1","All",41,"Scss","Completions"
"35527",1991-05-01,"1991/Q2","Single",4,"Scss","Completions"
"35527",1991-05-01,"1991/Q2","Semi-Detached",2,"Scss","Completions"
"35527",1991-05-01,"1991/Q2","Row",66,"Scss","Completions"
"35527",1991-05-01,"1991/Q2","Apartment",18,"Scss","Completions"
"35527",1991-05-01,"1991/Q2","All",90,"Scss","Completions"
"35527",1991-08-01,"1991/Q3","Single",9,"Scss","Completions"
"35527",1991-08-01,"1991/Q3","Semi-Detached",0,"Scss","Completions"
"35527",1991-08-01,"1991/Q3","Row",6,"Scss","Completions"
"35527",1991-08-01,"1991/Q3","Apartment",0,"Scss","Completions"
"35527",1991-08-01,"1991/Q3","All",15,"Scss","Completions"
"35527",1991-11-01,"1991/Q4","Single",14,"Scss","Completions"
"35527",1991-11-01,"1991/Q4","Semi-Detached",0,"Scss","Completions"
"35527",1991-11-01,"1991/Q4","Row",0,"Scss","Completions"
"35527",1991-11-01,"1991/Q4","Apartment",6,"Scss","Completions"
"35527",1991-11-01,"1991/Q4","All",20,"Scss","Completions"
"35527",1992-02-01,"1992/Q1","Single",13,"Scss","Completions"
"35527",1992-02-01,"1992/Q1","Semi-Detached",0,"Scss","Completions"
"35527",1992-02-01,"1992/Q1","Row",0,"Scss","Completions"
"35527",1992-02-01,"1992/Q1","Apartment",0,"Scss","Completions"
"35527",1992-02-01,"1992/Q1","All",13,"Scss","Completions"
"35527",1992-05-01,"1992/Q2","Single",15,"Scss","Completions"
"35527",1992-05-01,"1992/Q2","Semi-Detached",0,"Scss","Completions"
"35527",1992-05-01,"1992/Q2","Row",0,"Scss","Completions"
"35527",1992-05-01,"1992/Q2","Apartment",0,"Scss","Completions"
"35527",1992-05-01,"1992/Q2","All",15,"Scss","Completions"
"35527",1992-08-01,"1992/Q3","Single",17,"Scss","Completions"
"35527",1992-08-01,"1992/Q3","Semi-Detached",0,"Scss","Completions"
"35527",1992-08-01,"1992/Q3","Row",0,"Scss","Completions"
"35527",1992-08-01,"1992/Q3","Apartment",0,"Scss","Completions"
"35527",1992-08-01,"1992/Q3","All",17,"Scss","Completions"
"35527",1992-11-01,"1992/Q4","Single",11,"Scss","Completions"
"35527",1992-11-01,"1992/Q4","Semi-Detached",2,"Scss","Completions"
"35527",1992-11-01,"1992/Q4","Row",0,"Scss","Completions"
"35527",1992-11-01,"1992/Q4","Apartment",0,"Scss","Completions"
"35527",1992-11-01,"1992/Q4","All",13,"Scss","Completions"
"35527",1993-02-01,"1993/Q1","Single",7,"Scss","Completions"
"35527",1993-02-01,"1993/Q1","Semi-Detached",0,"Scss","Completions"
"35527",1993-02-01,"1993/Q1","Row",0,"Scss","Completions"
"35527",1993-02-01,"1993/Q1","Apartment",0,"Scss","Completions"
"35527",1993-02-01,"1993/Q1","All",7,"Scss","Completions"
"35527",1993-05-01,"1993/Q2","Single",15,"Scss","Completions"
"35527",1993-05-01,"1993/Q2","Semi-Detached",0,"Scss","Completions"
"35527",1993-05-01,"1993/Q2","Row",0,"Scss","Completions"
"35527",1993-05-01,"1993/Q2","Apartment",8,"Scss","Completions"
"35527",1993-05-01,"1993/Q2","All",23,"Scss","Completions"
"35527",1993-08-01,"1993/Q3","Single",30,"Scss","Completions"
