"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"11105",2006-07-01,"2006","65 - 74",4345,"Census","65 and over"
"11105",2006-07-01,"2006","75 - 84",2775,"Census","65 and over"
"11105",2006-07-01,"2006","85+",1185,"Census","65 and over"
"11105",2006-07-01,"2006","Total 65+",8305,"Census","65 and over"
"11105",2006-07-01,"2006","Total",58625,"Census","65 and over"
"11105",2011-07-01,"2011","65 - 74",5225,"Census","65 and over"
"11105",2011-07-01,"2011","75 - 84",3025,"Census","65 and over"
"11105",2011-07-01,"2011","85+",1355,"Census","65 and over"
"11105",2011-07-01,"2011","Total 65+",9605,"Census","65 and over"
"11105",2011-07-01,"2011","Total",64485,"Census","65 and over"
"11105",2016-07-01,"2016","65 - 74",7100,"Census","65 and over"
"11105",2016-07-01,"2016","75 - 84",3080,"Census","65 and over"
"11105",2016-07-01,"2016","85+",1005,"Census","65 and over"
"11105",2016-07-01,"2016","Total 65+",11185,"Census","65 and over"
"11105",2016-07-01,"2016","Total",67820,"Census","65 and over"
"11105",2021-07-01,"2021","65 - 74",9065,"Census","65 and over"
"11105",2021-07-01,"2021","75 - 84",4130,"Census","65 and over"
"11105",2021-07-01,"2021","85+",1060,"Census","65 and over"
"11105",2021-07-01,"2021","Total 65+",14255,"Census","65 and over"
"11105",2021-07-01,"2021","Total",77380,"Census","65 and over"
