"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"35529",2006-07-01,"2006","65 - 74",10210,"Census","65 and over"
"35529",2006-07-01,"2006","75 - 84",8000,"Census","65 and over"
"35529",2006-07-01,"2006","85+",2970,"Census","65 and over"
"35529",2006-07-01,"2006","Total 65+",21180,"Census","65 and over"
"35529",2006-07-01,"2006","Total",116570,"Census","65 and over"
"35529",2011-07-01,"2011","65 - 74",11530,"Census","65 and over"
"35529",2011-07-01,"2011","75 - 84",8015,"Census","65 and over"
"35529",2011-07-01,"2011","85+",3630,"Census","65 and over"
"35529",2011-07-01,"2011","Total 65+",23175,"Census","65 and over"
"35529",2011-07-01,"2011","Total",118975,"Census","65 and over"
"35529",2016-07-01,"2016","65 - 74",14470,"Census","65 and over"
"35529",2016-07-01,"2016","75 - 84",7580,"Census","65 and over"
"35529",2016-07-01,"2016","85+",2745,"Census","65 and over"
"35529",2016-07-01,"2016","Total 65+",24795,"Census","65 and over"
"35529",2016-07-01,"2016","Total",118775,"Census","65 and over"
"35529",2021-07-01,"2021","65 - 74",17255,"Census","65 and over"
"35529",2021-07-01,"2021","75 - 84",9060,"Census","65 and over"
"35529",2021-07-01,"2021","85+",3145,"Census","65 and over"
"35529",2021-07-01,"2021","Total 65+",29455,"Census","65 and over"
"35529",2021-07-01,"2021","Total",125995,"Census","65 and over"
