"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"24480",2006-07-01,"2006","65 - 74",2130,"Census","65 and over"
"24480",2006-07-01,"2006","75 - 84",1345,"Census","65 and over"
"24480",2006-07-01,"2006","85+",330,"Census","65 and over"
"24480",2006-07-01,"2006","Total 65+",3805,"Census","65 and over"
"24480",2006-07-01,"2006","Total",32285,"Census","65 and over"
"24480",2011-07-01,"2011","65 - 74",2540,"Census","65 and over"
"24480",2011-07-01,"2011","75 - 84",1410,"Census","65 and over"
"24480",2011-07-01,"2011","85+",420,"Census","65 and over"
"24480",2011-07-01,"2011","Total 65+",4375,"Census","65 and over"
"24480",2011-07-01,"2011","Total",33265,"Census","65 and over"
"24480",2016-07-01,"2016","65 - 74",3205,"Census","65 and over"
"24480",2016-07-01,"2016","75 - 84",1345,"Census","65 and over"
"24480",2016-07-01,"2016","85+",270,"Census","65 and over"
"24480",2016-07-01,"2016","Total 65+",4825,"Census","65 and over"
"24480",2016-07-01,"2016","Total",33160,"Census","65 and over"
"24480",2021-07-01,"2021","65 - 74",3830,"Census","65 and over"
"24480",2021-07-01,"2021","75 - 84",1725,"Census","65 and over"
"24480",2021-07-01,"2021","85+",430,"Census","65 and over"
"24480",2021-07-01,"2021","Total 65+",5990,"Census","65 and over"
"24480",2021-07-01,"2021","Total",33420,"Census","65 and over"
