"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"10011",2006-07-01,"2006","65 - 74",435,"Census","65 and over"
"10011",2006-07-01,"2006","75 - 84",310,"Census","65 and over"
"10011",2006-07-01,"2006","85+",45,"Census","65 and over"
"10011",2006-07-01,"2006","Total 65+",790,"Census","65 and over"
"10011",2006-07-01,"2006","Total",3870,"Census","65 and over"
"10011",2011-07-01,"2011","65 - 74",485,"Census","65 and over"
"10011",2011-07-01,"2011","75 - 84",380,"Census","65 and over"
"10011",2011-07-01,"2011","85+",85,"Census","65 and over"
"10011",2011-07-01,"2011","Total 65+",950,"Census","65 and over"
"10011",2011-07-01,"2011","Total",4520,"Census","65 and over"
"10011",2016-07-01,"2016","65 - 74",795,"Census","65 and over"
"10011",2016-07-01,"2016","75 - 84",450,"Census","65 and over"
"10011",2016-07-01,"2016","85+",125,"Census","65 and over"
"10011",2016-07-01,"2016","Total 65+",1370,"Census","65 and over"
"10011",2016-07-01,"2016","Total",5540,"Census","65 and over"
"10011",2021-07-01,"2021","65 - 74",955,"Census","65 and over"
"10011",2021-07-01,"2021","75 - 84",485,"Census","65 and over"
"10011",2021-07-01,"2021","85+",160,"Census","65 and over"
"10011",2021-07-01,"2021","Total 65+",1600,"Census","65 and over"
"10011",2021-07-01,"2021","Total",5745,"Census","65 and over"
