"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"59938",2006-07-01,"2006","65 - 74",8075,"Census","65 and over"
"59938",2006-07-01,"2006","75 - 84",5800,"Census","65 and over"
"59938",2006-07-01,"2006","85+",2150,"Census","65 and over"
"59938",2006-07-01,"2006","Total 65+",16030,"Census","65 and over"
"59938",2006-07-01,"2006","Total",92360,"Census","65 and over"
"59938",2011-07-01,"2011","65 - 74",9795,"Census","65 and over"
"59938",2011-07-01,"2011","75 - 84",6235,"Census","65 and over"
"59938",2011-07-01,"2011","85+",2770,"Census","65 and over"
"59938",2011-07-01,"2011","Total 65+",18795,"Census","65 and over"
"59938",2011-07-01,"2011","Total",98020,"Census","65 and over"
"59938",2016-07-01,"2016","65 - 74",12785,"Census","65 and over"
"59938",2016-07-01,"2016","75 - 84",6190,"Census","65 and over"
"59938",2016-07-01,"2016","85+",1980,"Census","65 and over"
"59938",2016-07-01,"2016","Total 65+",20960,"Census","65 and over"
"59938",2016-07-01,"2016","Total",101990,"Census","65 and over"
"59938",2021-07-01,"2021","65 - 74",15725,"Census","65 and over"
"59938",2021-07-01,"2021","75 - 84",8025,"Census","65 and over"
"59938",2021-07-01,"2021","85+",2320,"Census","65 and over"
"59938",2021-07-01,"2021","Total 65+",26070,"Census","65 and over"
"59938",2021-07-01,"2021","Total",112410,"Census","65 and over"
