"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"13305",2006-07-01,"2006","65 - 74",5245,"Census","65 and over"
"13305",2006-07-01,"2006","75 - 84",3865,"Census","65 and over"
"13305",2006-07-01,"2006","85+",1575,"Census","65 and over"
"13305",2006-07-01,"2006","Total 65+",10680,"Census","65 and over"
"13305",2006-07-01,"2006","Total",51595,"Census","65 and over"
"13305",2011-07-01,"2011","65 - 74",6800,"Census","65 and over"
"13305",2011-07-01,"2011","75 - 84",3825,"Census","65 and over"
"13305",2011-07-01,"2011","85+",1910,"Census","65 and over"
"13305",2011-07-01,"2011","Total 65+",12540,"Census","65 and over"
"13305",2011-07-01,"2011","Total",58315,"Census","65 and over"
"13305",2016-07-01,"2016","65 - 74",9060,"Census","65 and over"
"13305",2016-07-01,"2016","75 - 84",4415,"Census","65 and over"
"13305",2016-07-01,"2016","85+",1815,"Census","65 and over"
"13305",2016-07-01,"2016","Total 65+",15285,"Census","65 and over"
"13305",2016-07-01,"2016","Total",61775,"Census","65 and over"
"13305",2021-07-01,"2021","65 - 74",10795,"Census","65 and over"
"13305",2021-07-01,"2021","75 - 84",5640,"Census","65 and over"
"13305",2021-07-01,"2021","85+",2050,"Census","65 and over"
"13305",2021-07-01,"2021","Total 65+",18475,"Census","65 and over"
"13305",2021-07-01,"2021","Total",67185,"Census","65 and over"
