"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"48865",2006-07-01,"2006","65 - 74",980,"Census","65 and over"
"48865",2006-07-01,"2006","75 - 84",840,"Census","65 and over"
"48865",2006-07-01,"2006","85+",375,"Census","65 and over"
"48865",2006-07-01,"2006","Total 65+",2195,"Census","65 and over"
"48865",2006-07-01,"2006","Total",11675,"Census","65 and over"
"48865",2011-07-01,"2011","65 - 74",1095,"Census","65 and over"
"48865",2011-07-01,"2011","75 - 84",925,"Census","65 and over"
"48865",2011-07-01,"2011","85+",510,"Census","65 and over"
"48865",2011-07-01,"2011","Total 65+",2525,"Census","65 and over"
"48865",2011-07-01,"2011","Total",12525,"Census","65 and over"
"48865",2016-07-01,"2016","65 - 74",1150,"Census","65 and over"
"48865",2016-07-01,"2016","75 - 84",735,"Census","65 and over"
"48865",2016-07-01,"2016","85+",270,"Census","65 and over"
"48865",2016-07-01,"2016","Total 65+",2160,"Census","65 and over"
"48865",2016-07-01,"2016","Total",12210,"Census","65 and over"
"48865",2021-07-01,"2021","65 - 74",1275,"Census","65 and over"
"48865",2021-07-01,"2021","75 - 84",850,"Census","65 and over"
"48865",2021-07-01,"2021","85+",205,"Census","65 and over"
"48865",2021-07-01,"2021","Total 65+",2330,"Census","65 and over"
"48865",2021-07-01,"2021","Total",12115,"Census","65 and over"
