"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"35515",2006-07-01,"2006","65 - 74",2110,"Census","65 and over"
"35515",2006-07-01,"2006","75 - 84",1630,"Census","65 and over"
"35515",2006-07-01,"2006","85+",565,"Census","65 and over"
"35515",2006-07-01,"2006","Total 65+",4300,"Census","65 and over"
"35515",2006-07-01,"2006","Total",23195,"Census","65 and over"
"35515",2011-07-01,"2011","65 - 74",2320,"Census","65 and over"
"35515",2011-07-01,"2011","75 - 84",1700,"Census","65 and over"
"35515",2011-07-01,"2011","85+",815,"Census","65 and over"
"35515",2011-07-01,"2011","Total 65+",4840,"Census","65 and over"
"35515",2011-07-01,"2011","Total",24020,"Census","65 and over"
"35515",2016-07-01,"2016","65 - 74",2500,"Census","65 and over"
"35515",2016-07-01,"2016","75 - 84",1480,"Census","65 and over"
"35515",2016-07-01,"2016","85+",430,"Census","65 and over"
"35515",2016-07-01,"2016","Total 65+",4415,"Census","65 and over"
"35515",2016-07-01,"2016","Total",22435,"Census","65 and over"
"35515",2021-07-01,"2021","65 - 74",2975,"Census","65 and over"
"35515",2021-07-01,"2021","75 - 84",1600,"Census","65 and over"
"35515",2021-07-01,"2021","85+",550,"Census","65 and over"
"35515",2021-07-01,"2021","Total 65+",5125,"Census","65 and over"
"35515",2021-07-01,"2021","Total",23085,"Census","65 and over"
