"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"47720",2006-07-01,"2006","65 - 74",1440,"Census","65 and over"
"47720",2006-07-01,"2006","75 - 84",1295,"Census","65 and over"
"47720",2006-07-01,"2006","85+",615,"Census","65 and over"
"47720",2006-07-01,"2006","Total 65+",3345,"Census","65 and over"
"47720",2006-07-01,"2006","Total",16535,"Census","65 and over"
"47720",2011-07-01,"2011","65 - 74",1445,"Census","65 and over"
"47720",2011-07-01,"2011","75 - 84",1235,"Census","65 and over"
"47720",2011-07-01,"2011","85+",635,"Census","65 and over"
"47720",2011-07-01,"2011","Total 65+",3320,"Census","65 and over"
"47720",2011-07-01,"2011","Total",17535,"Census","65 and over"
"47720",2016-07-01,"2016","65 - 74",1585,"Census","65 and over"
"47720",2016-07-01,"2016","75 - 84",1135,"Census","65 and over"
"47720",2016-07-01,"2016","85+",445,"Census","65 and over"
"47720",2016-07-01,"2016","Total 65+",3175,"Census","65 and over"
"47720",2016-07-01,"2016","Total",17895,"Census","65 and over"
"47720",2021-07-01,"2021","65 - 74",1995,"Census","65 and over"
"47720",2021-07-01,"2021","75 - 84",1140,"Census","65 and over"
"47720",2021-07-01,"2021","85+",380,"Census","65 and over"
"47720",2021-07-01,"2021","Total 65+",3520,"Census","65 and over"
"47720",2021-07-01,"2021","Total",18060,"Census","65 and over"
