"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"12210",2006-07-01,"2006","65 - 74",2180,"Census","65 and over"
"12210",2006-07-01,"2006","75 - 84",1285,"Census","65 and over"
"12210",2006-07-01,"2006","85+",500,"Census","65 and over"
"12210",2006-07-01,"2006","Total 65+",3970,"Census","65 and over"
"12210",2006-07-01,"2006","Total",25970,"Census","65 and over"
"12210",2011-07-01,"2011","65 - 74",2565,"Census","65 and over"
"12210",2011-07-01,"2011","75 - 84",1465,"Census","65 and over"
"12210",2011-07-01,"2011","85+",540,"Census","65 and over"
"12210",2011-07-01,"2011","Total 65+",4570,"Census","65 and over"
"12210",2011-07-01,"2011","Total",26360,"Census","65 and over"
"12210",2016-07-01,"2016","65 - 74",3130,"Census","65 and over"
"12210",2016-07-01,"2016","75 - 84",1550,"Census","65 and over"
"12210",2016-07-01,"2016","85+",475,"Census","65 and over"
"12210",2016-07-01,"2016","Total 65+",5155,"Census","65 and over"
"12210",2016-07-01,"2016","Total",25890,"Census","65 and over"
"12210",2021-07-01,"2021","65 - 74",3700,"Census","65 and over"
"12210",2021-07-01,"2021","75 - 84",1885,"Census","65 and over"
"12210",2021-07-01,"2021","85+",455,"Census","65 and over"
"12210",2021-07-01,"2021","Total 65+",6040,"Census","65 and over"
"12210",2021-07-01,"2021","Total",26600,"Census","65 and over"
