"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"13310",2006-07-01,"2006","65 - 74",8780,"Census","65 and over"
"13310",2006-07-01,"2006","75 - 84",5845,"Census","65 and over"
"13310",2006-07-01,"2006","85+",2445,"Census","65 and over"
"13310",2006-07-01,"2006","Total 65+",17065,"Census","65 and over"
"13310",2006-07-01,"2006","Total",122385,"Census","65 and over"
"13310",2011-07-01,"2011","65 - 74",10520,"Census","65 and over"
"13310",2011-07-01,"2011","75 - 84",6105,"Census","65 and over"
"13310",2011-07-01,"2011","85+",2700,"Census","65 and over"
"13310",2011-07-01,"2011","Total 65+",19325,"Census","65 and over"
"13310",2011-07-01,"2011","Total",127760,"Census","65 and over"
"13310",2016-07-01,"2016","65 - 74",13190,"Census","65 and over"
"13310",2016-07-01,"2016","75 - 84",6015,"Census","65 and over"
"13310",2016-07-01,"2016","85+",1855,"Census","65 and over"
"13310",2016-07-01,"2016","Total 65+",21060,"Census","65 and over"
"13310",2016-07-01,"2016","Total",123520,"Census","65 and over"
"13310",2021-07-01,"2021","65 - 74",15890,"Census","65 and over"
"13310",2021-07-01,"2021","75 - 84",7540,"Census","65 and over"
"13310",2021-07-01,"2021","85+",1940,"Census","65 and over"
"13310",2021-07-01,"2021","Total 65+",25370,"Census","65 and over"
"13310",2021-07-01,"2021","Total",128385,"Census","65 and over"
