"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"46605",2016-07-01,"2016","65 - 74",1190,"Census","65 and over"
"46605",2016-07-01,"2016","75 - 84",800,"Census","65 and over"
"46605",2016-07-01,"2016","85+",360,"Census","65 and over"
"46605",2016-07-01,"2016","Total 65+",2345,"Census","65 and over"
"46605",2016-07-01,"2016","Total",15535,"Census","65 and over"
"46605",2021-07-01,"2021","65 - 74",1515,"Census","65 and over"
"46605",2021-07-01,"2021","75 - 84",1040,"Census","65 and over"
"46605",2021-07-01,"2021","85+",345,"Census","65 and over"
"46605",2021-07-01,"2021","Total 65+",2905,"Census","65 and over"
"46605",2021-07-01,"2021","Total",17575,"Census","65 and over"
