"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"59930",2006-07-01,"2006","65 - 74",4235,"Census","65 and over"
"59930",2006-07-01,"2006","75 - 84",3340,"Census","65 and over"
"59930",2006-07-01,"2006","85+",945,"Census","65 and over"
"59930",2006-07-01,"2006","Total 65+",8520,"Census","65 and over"
"59930",2006-07-01,"2006","Total",31635,"Census","65 and over"
"59930",2011-07-01,"2011","65 - 74",5155,"Census","65 and over"
"59930",2011-07-01,"2011","75 - 84",3525,"Census","65 and over"
"59930",2011-07-01,"2011","85+",1255,"Census","65 and over"
"59930",2011-07-01,"2011","Total 65+",9940,"Census","65 and over"
"59930",2011-07-01,"2011","Total",36245,"Census","65 and over"
"59930",2016-07-01,"2016","65 - 74",6710,"Census","65 and over"
"59930",2016-07-01,"2016","75 - 84",3970,"Census","65 and over"
"59930",2016-07-01,"2016","85+",1380,"Census","65 and over"
"59930",2016-07-01,"2016","Total 65+",12065,"Census","65 and over"
"59930",2016-07-01,"2016","Total",39700,"Census","65 and over"
"59930",2021-07-01,"2021","65 - 74",8015,"Census","65 and over"
"59930",2021-07-01,"2021","75 - 84",4840,"Census","65 and over"
"59930",2021-07-01,"2021","85+",1585,"Census","65 and over"
"59930",2021-07-01,"2021","Total 65+",14440,"Census","65 and over"
"59930",2021-07-01,"2021","Total",44370,"Census","65 and over"
