"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"35550",2006-07-01,"2006","65 - 74",4525,"Census","65 and over"
"35550",2006-07-01,"2006","75 - 84",3815,"Census","65 and over"
"35550",2006-07-01,"2006","85+",1060,"Census","65 and over"
"35550",2006-07-01,"2006","Total 65+",9405,"Census","65 and over"
"35550",2006-07-01,"2006","Total",48770,"Census","65 and over"
"35550",2011-07-01,"2011","65 - 74",5840,"Census","65 and over"
"35550",2011-07-01,"2011","75 - 84",4505,"Census","65 and over"
"35550",2011-07-01,"2011","85+",1180,"Census","65 and over"
"35550",2011-07-01,"2011","Total 65+",11515,"Census","65 and over"
"35550",2011-07-01,"2011","Total",54870,"Census","65 and over"
"35550",2016-07-01,"2016","65 - 74",7515,"Census","65 and over"
"35550",2016-07-01,"2016","75 - 84",4095,"Census","65 and over"
"35550",2016-07-01,"2016","85+",1880,"Census","65 and over"
"35550",2016-07-01,"2016","Total 65+",13495,"Census","65 and over"
"35550",2016-07-01,"2016","Total",59280,"Census","65 and over"
"35550",2021-07-01,"2021","65 - 74",8985,"Census","65 and over"
"35550",2021-07-01,"2021","75 - 84",5130,"Census","65 and over"
"35550",2021-07-01,"2021","85+",2050,"Census","65 and over"
"35550",2021-07-01,"2021","Total 65+",16165,"Census","65 and over"
"35550",2021-07-01,"2021","Total",64175,"Census","65 and over"
