"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"48810",2006-07-01,"2006","65 - 74",6615,"Census","65 and over"
"48810",2006-07-01,"2006","75 - 84",4995,"Census","65 and over"
"48810",2006-07-01,"2006","85+",1945,"Census","65 and over"
"48810",2006-07-01,"2006","Total 65+",13550,"Census","65 and over"
"48810",2006-07-01,"2006","Total",95195,"Census","65 and over"
"48810",2011-07-01,"2011","65 - 74",7725,"Census","65 and over"
"48810",2011-07-01,"2011","75 - 84",5360,"Census","65 and over"
"48810",2011-07-01,"2011","85+",2210,"Census","65 and over"
"48810",2011-07-01,"2011","Total 65+",15295,"Census","65 and over"
"48810",2011-07-01,"2011","Total",106000,"Census","65 and over"
"48810",2016-07-01,"2016","65 - 74",9875,"Census","65 and over"
"48810",2016-07-01,"2016","75 - 84",4935,"Census","65 and over"
"48810",2016-07-01,"2016","85+",1495,"Census","65 and over"
"48810",2016-07-01,"2016","Total 65+",16305,"Census","65 and over"
"48810",2016-07-01,"2016","Total",113920,"Census","65 and over"
"48810",2021-07-01,"2021","65 - 74",11915,"Census","65 and over"
"48810",2021-07-01,"2021","75 - 84",5970,"Census","65 and over"
"48810",2021-07-01,"2021","85+",1660,"Census","65 and over"
"48810",2021-07-01,"2021","Total 65+",19545,"Census","65 and over"
"48810",2021-07-01,"2021","Total",120495,"Census","65 and over"
