"GeoUID","Date","DateString","Bedroom Type","Value","Quality","Survey","Series"
"35537",1990-10-01,"1990 October","Studio",348,"Excellent","Rms","Median Rent"
"35537",1990-10-01,"1990 October","1 Bedroom",418,"Excellent","Rms","Median Rent"
"35537",1990-10-01,"1990 October","2 Bedroom",500,"Excellent","Rms","Median Rent"
"35537",1990-10-01,"1990 October","3 Bedroom +",650,"Excellent","Rms","Median Rent"
"35537",1990-10-01,"1990 October","Total",470,"Excellent","Rms","Median Rent"
"35537",1991-10-01,"1991 October","Studio",379,"Excellent","Rms","Median Rent"
"35537",1991-10-01,"1991 October","1 Bedroom",450,"Excellent","Rms","Median Rent"
"35537",1991-10-01,"1991 October","2 Bedroom",530,"Excellent","Rms","Median Rent"
"35537",1991-10-01,"1991 October","3 Bedroom +",675,"Excellent","Rms","Median Rent"
"35537",1991-10-01,"1991 October","Total",498,"Excellent","Rms","Median Rent"
"35537",1992-10-01,"1992 October","Studio",360,"Excellent","Rms","Median Rent"
"35537",1992-10-01,"1992 October","1 Bedroom",450,"Excellent","Rms","Median Rent"
"35537",1992-10-01,"1992 October","2 Bedroom",553,"Excellent","Rms","Median Rent"
"35537",1992-10-01,"1992 October","3 Bedroom +",700,"Excellent","Rms","Median Rent"
"35537",1992-10-01,"1992 October","Total",515,"Excellent","Rms","Median Rent"
"35537",1993-10-01,"1993 October","Studio",385,"Excellent","Rms","Median Rent"
"35537",1993-10-01,"1993 October","1 Bedroom",477,"Excellent","Rms","Median Rent"
"35537",1993-10-01,"1993 October","2 Bedroom",580,"Excellent","Rms","Median Rent"
"35537",1993-10-01,"1993 October","3 Bedroom +",750,"Excellent","Rms","Median Rent"
"35537",1993-10-01,"1993 October","Total",542,"Excellent","Rms","Median Rent"
"35537",1994-10-01,"1994 October","Studio",386,"Excellent","Rms","Median Rent"
"35537",1994-10-01,"1994 October","1 Bedroom",490,"Excellent","Rms","Median Rent"
"35537",1994-10-01,"1994 October","2 Bedroom",588,"Excellent","Rms","Median Rent"
"35537",1994-10-01,"1994 October","3 Bedroom +",751,"Excellent","Rms","Median Rent"
"35537",1994-10-01,"1994 October","Total",550,"Excellent","Rms","Median Rent"
"35537",1995-10-01,"1995 October","Studio",400,"Excellent","Rms","Median Rent"
"35537",1995-10-01,"1995 October","1 Bedroom",490,"Excellent","Rms","Median Rent"
"35537",1995-10-01,"1995 October","2 Bedroom",600,"Excellent","Rms","Median Rent"
"35537",1995-10-01,"1995 October","3 Bedroom +",766,"Excellent","Rms","Median Rent"
"35537",1995-10-01,"1995 October","Total",555,"Excellent","Rms","Median Rent"
