St. Catharines - Niagara — Historical Monthly Shelter Costs - Ranges  
2006 to 2016 Tenure - Total
,Less Than $500 Per Month,$500 to $999 Per Month,"$1,000 to $1,499 Per Month","$1,500 to $1,999 Per Month","$2,000 And Over Per Month","Total Non-Farm, Non-Band Households",
2006,"37,590","64,485","34,325","13,620","5,655","155,675",
2011,"30,165","65,665","37,825","17,785","8,200","159,640",
2016,"22,290","67,425","42,550","21,980","13,270","167,510",

Notes
"Statistics Canada does not collect shelter cost data for farm households or for households living in band housing. For renters, shelter costs include, as applicable, rent and payments for electricity, fuel, water and other municipal services. For owners, shelter costs include, as applicable, mortgage payments (principal and interest), property taxes, condominium fees, and payments for electricity, fuel, water and other municipal services."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
