St. John's — Historical Monthly Shelter Costs - Ranges  
2006 to 2016 Tenure - Total
,Less Than $500 Per Month,$500 to $999 Per Month,"$1,000 to $1,499 Per Month","$1,500 to $1,999 Per Month","$2,000 And Over Per Month","Total Non-Farm, Non-Band Households",
2006,"18,930","29,620","16,380","4,260","1,435","70,625",
2011,"15,170","30,065","18,855","10,900","3,975","78,965",
2016,"9,935","27,900","19,315","15,620","12,165","84,940",

Notes
"Statistics Canada does not collect shelter cost data for farm households or for households living in band housing. For renters, shelter costs include, as applicable, rent and payments for electricity, fuel, water and other municipal services. For owners, shelter costs include, as applicable, mortgage payments (principal and interest), property taxes, condominium fees, and payments for electricity, fuel, water and other municipal services."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
