Trois-Rivières — Starts (SAAR)  
January 1990 to March 2024
2016 January,316,
2016 February,254,
2016 March,389,
2016 April,504,
2016 May,738,
2016 June,916,
2016 July,634,
2016 August,179,
2016 September,"1,084",
2016 October,315,
2016 November,"1,439",
2016 December,"1,156",
2017 January,"1,345",
2017 February,174,
2017 March,381,
2017 April,571,
2017 May,564,
2017 June,565,
2017 July,720,
2017 August,"2,348",
2017 September,342,
2017 October,550,
2017 November,584,
2017 December,688,
2018 January,94,
2018 February,559,
2018 March,374,
2018 April,"1,699",
2018 May,617,
2018 June,661,
2018 July,674,
2018 August,156,
2018 September,615,
2018 October,"2,239",
2018 November,799,
2018 December,"1,213",
2019 January,246,
2019 February,368,
2019 March,447,
2019 April,668,
2019 May,632,
2019 June,320,
2019 July,586,
2019 August,423,
2019 September,914,
2019 October,"1,410",
2019 November,734,
2019 December,615,
2020 January,294,
2020 February,540,
2020 March,209,
2020 April,0,
2020 May,"1,705",
2020 June,985,
2020 July,914,
2020 August,342,
2020 September,513,
2020 October,956,
2020 November,870,
2020 December,586,
2021 January,594,
2021 February,495,
2021 March,"1,198",
2021 April,775,
2021 May,901,
2021 June,"1,277",
2021 July,"1,316",
2021 August,437,
2021 September,"1,744",
2021 October,"1,074",
2021 November,"1,673",
2021 December,"1,832",
2022 January,488,
2022 February,993,
2022 March,425,
2022 April,"3,114",
2022 May,"1,142",
2022 June,"1,445",
2022 July,994,
2022 August,"1,007",
2022 September,909,
2022 October,939,
2022 November,677,
2022 December,"1,624",
2023 January,"1,417",
2023 February,747,
2023 March,650,
2023 April,943,
2023 May,774,
2023 June,"3,266",
2023 July,"1,864",
2023 August,249,
2023 September,"1,203",
2023 October,"3,613",
2023 November,"1,082",
2023 December,306,
2024 January,"1,191",
2024 February,"1,682",
2024 March,459,

Source,CMHC Starts and Completions Survey
