Calgary — Starts (SAAR)  
January 1990 to March 2024
1990 January,"15,043",
1990 February,"9,916",
1990 March,"9,807",
1990 April,"9,161",
1990 May,"9,175",
1990 June,"4,611",
1990 July,"5,332",
1990 August,"6,011",
1990 September,"5,259",
1990 October,"4,535",
1990 November,"5,604",
1990 December,"3,790",
1991 January,"3,241",
1991 February,"3,663",
1991 March,"3,875",
1991 April,"3,955",
1991 May,"4,890",
1991 June,"5,518",
1991 July,"4,939",
1991 August,"5,726",
1991 September,"5,000",
1991 October,"5,011",
1991 November,"5,336",
1991 December,"5,341",
1992 January,"5,515",
1992 February,"6,208",
1992 March,"7,953",
1992 April,"7,863",
1992 May,"7,432",
1992 June,"7,342",
1992 July,"6,217",
1992 August,"6,877",
1992 September,"7,132",
1992 October,"6,523",
1992 November,"7,386",
1992 December,"7,487",
1993 January,"5,432",
1993 February,"6,760",
1993 March,"6,384",
1993 April,"6,823",
1993 May,"5,516",
1993 June,"6,138",
1993 July,"8,267",
1993 August,"5,323",
1993 September,"6,305",
1993 October,"8,836",
1993 November,"6,661",
1993 December,"7,336",
1994 January,"7,435",
1994 February,"6,245",
1994 March,"5,394",
1994 April,"7,660",
1994 May,"6,376",
1994 June,"6,370",
1994 July,"8,635",
1994 August,"7,155",
1994 September,"7,154",
1994 October,"8,160",
1994 November,"6,320",
1994 December,"5,773",
1995 January,"6,152",
1995 February,"4,461",
1995 March,"3,845",
1995 April,"5,314",
1995 May,"4,305",
1995 June,"5,118",
1995 July,"7,595",
1995 August,"6,701",
1995 September,"6,153",
1995 October,"6,950",
1995 November,"5,915",
1995 December,"6,179",
1996 January,"4,952",
1996 February,"4,428",
1996 March,"6,879",
1996 April,"5,433",
1996 May,"7,238",
1996 June,"7,854",
1996 July,"7,175",
1996 August,"8,431",
1996 September,"8,375",
1996 October,"7,206",
1996 November,"7,907",
1996 December,"8,292",
1997 January,"8,116",
1997 February,"14,101",
1997 March,"11,978",
1997 April,"11,366",
1997 May,"11,079",
1997 June,"8,759",
1997 July,"11,544",
1997 August,"10,336",
1997 September,"9,482",
1997 October,"10,735",
1997 November,"14,125",
1997 December,"13,812",
1998 January,"10,935",
1998 February,"18,171",
1998 March,"11,849",
1998 April,"12,141",
1998 May,"13,932",
1998 June,"11,057",
1998 July,"11,829",
1998 August,"12,407",
1998 September,"11,164",
1998 October,"12,424",
1998 November,"11,189",
1998 December,"13,274",
1999 January,"12,601",
1999 February,"10,218",
