"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"11105",2006-07-01,"2006","Below Affordability Standard",50.3,"Core Housing Need","Housing Standards"
"11105",2006-07-01,"2006","Below Adequacy Standard",24.2,"Core Housing Need","Housing Standards"
"11105",2006-07-01,"2006","Below Suitability Standard",21.2,"Core Housing Need","Housing Standards"
"11105",2006-07-01,"2006","Below One or More Housing Standards",40,"Core Housing Need","Housing Standards"
"11105",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"11105",2006-07-01,"2006","Total",12.1,"Core Housing Need","Housing Standards"
"11105",2011-07-01,"2011","Below Affordability Standard",45,"Core Housing Need","Housing Standards"
"11105",2011-07-01,"2011","Below Adequacy Standard",17,"Core Housing Need","Housing Standards"
"11105",2011-07-01,"2011","Below Suitability Standard",21.9,"Core Housing Need","Housing Standards"
"11105",2011-07-01,"2011","Below One or More Housing Standards",34.3,"Core Housing Need","Housing Standards"
"11105",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"11105",2011-07-01,"2011","Total",9.3,"Core Housing Need","Housing Standards"
"11105",2016-07-01,"2016","Below Affordability Standard",43.8,"Core Housing Need","Housing Standards"
"11105",2016-07-01,"2016","Below Adequacy Standard",18.2,"Core Housing Need","Housing Standards"
"11105",2016-07-01,"2016","Below Suitability Standard",19,"Core Housing Need","Housing Standards"
"11105",2016-07-01,"2016","Below One or More Housing Standards",34.8,"Core Housing Need","Housing Standards"
"11105",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"11105",2016-07-01,"2016","Total",9,"Core Housing Need","Housing Standards"
"11105",2021-07-01,"2021","Below Affordability Standard",33.9,"Core Housing Need","Housing Standards"
"11105",2021-07-01,"2021","Below Adequacy Standard",15.1,"Core Housing Need","Housing Standards"
"11105",2021-07-01,"2021","Below Suitability Standard",11.8,"Core Housing Need","Housing Standards"
"11105",2021-07-01,"2021","Below One or More Housing Standards",25.4,"Core Housing Need","Housing Standards"
"11105",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"11105",2021-07-01,"2021","Total",6.3,"Core Housing Need","Housing Standards"
