"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"59907",2006-07-01,"2006","Below Affordability Standard",1125,"Core Housing Need","Housing Standards"
"59907",2006-07-01,"2006","Below Adequacy Standard",440,"Core Housing Need","Housing Standards"
"59907",2006-07-01,"2006","Below Suitability Standard",175,"Core Housing Need","Housing Standards"
"59907",2006-07-01,"2006","Below One or More Housing Standards",1495,"Core Housing Need","Housing Standards"
"59907",2006-07-01,"2006","Above Standards",2515,"Core Housing Need","Housing Standards"
"59907",2006-07-01,"2006","Total",4015,"Core Housing Need","Housing Standards"
"59907",2011-07-01,"2011","Below Affordability Standard",1160,"Core Housing Need","Housing Standards"
"59907",2011-07-01,"2011","Below Adequacy Standard",490,"Core Housing Need","Housing Standards"
"59907",2011-07-01,"2011","Below Suitability Standard",120,"Core Housing Need","Housing Standards"
"59907",2011-07-01,"2011","Below One or More Housing Standards",1600,"Core Housing Need","Housing Standards"
"59907",2011-07-01,"2011","Above Standards",2775,"Core Housing Need","Housing Standards"
"59907",2011-07-01,"2011","Total",4375,"Core Housing Need","Housing Standards"
"59907",2016-07-01,"2016","Below Affordability Standard",1965,"Core Housing Need","Housing Standards"
"59907",2016-07-01,"2016","Below Adequacy Standard",700,"Core Housing Need","Housing Standards"
"59907",2016-07-01,"2016","Below Suitability Standard",180,"Core Housing Need","Housing Standards"
"59907",2016-07-01,"2016","Below One or More Housing Standards",2550,"Core Housing Need","Housing Standards"
"59907",2016-07-01,"2016","Above Standards",5405,"Core Housing Need","Housing Standards"
"59907",2016-07-01,"2016","Total",7950,"Core Housing Need","Housing Standards"
"59907",2021-07-01,"2021","Below Affordability Standard",1595,"Core Housing Need","Housing Standards"
"59907",2021-07-01,"2021","Below Adequacy Standard",770,"Core Housing Need","Housing Standards"
"59907",2021-07-01,"2021","Below Suitability Standard",305,"Core Housing Need","Housing Standards"
"59907",2021-07-01,"2021","Below One or More Housing Standards",2375,"Core Housing Need","Housing Standards"
"59907",2021-07-01,"2021","Above Standards",5905,"Core Housing Need","Housing Standards"
"59907",2021-07-01,"2021","Total",8280,"Core Housing Need","Housing Standards"
