"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"24467",2006-07-01,"2006","Below Affordability Standard",50.3,"Core Housing Need","Housing Standards"
"24467",2006-07-01,"2006","Below Adequacy Standard",13.5,"Core Housing Need","Housing Standards"
"24467",2006-07-01,"2006","Below Suitability Standard",21.1,"Core Housing Need","Housing Standards"
"24467",2006-07-01,"2006","Below One or More Housing Standards",38,"Core Housing Need","Housing Standards"
"24467",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24467",2006-07-01,"2006","Total",12.4,"Core Housing Need","Housing Standards"
"24467",2011-07-01,"2011","Below Affordability Standard",44.7,"Core Housing Need","Housing Standards"
"24467",2011-07-01,"2011","Below Adequacy Standard",45.2,"Core Housing Need","Housing Standards"
"24467",2011-07-01,"2011","Below Suitability Standard",25,"Core Housing Need","Housing Standards"
"24467",2011-07-01,"2011","Below One or More Housing Standards",39,"Core Housing Need","Housing Standards"
"24467",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24467",2011-07-01,"2011","Total",14,"Core Housing Need","Housing Standards"
