"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"46640",2006-07-01,"2006","Below Affordability Standard",390,"Core Housing Need","Housing Standards"
"46640",2006-07-01,"2006","Below Adequacy Standard",65,"Core Housing Need","Housing Standards"
"46640",2006-07-01,"2006","Below Suitability Standard",155,"Core Housing Need","Housing Standards"
"46640",2006-07-01,"2006","Below One or More Housing Standards",460,"Core Housing Need","Housing Standards"
"46640",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"46640",2006-07-01,"2006","Total",465,"Core Housing Need","Housing Standards"
"46640",2011-07-01,"2011","Below Affordability Standard",315,"Core Housing Need","Housing Standards"
"46640",2011-07-01,"2011","Below Adequacy Standard",140,"Core Housing Need","Housing Standards"
"46640",2011-07-01,"2011","Below Suitability Standard",135,"Core Housing Need","Housing Standards"
"46640",2011-07-01,"2011","Below One or More Housing Standards",440,"Core Housing Need","Housing Standards"
"46640",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"46640",2011-07-01,"2011","Total",435,"Core Housing Need","Housing Standards"
"46640",2016-07-01,"2016","Below Affordability Standard",385,"Core Housing Need","Housing Standards"
"46640",2016-07-01,"2016","Below Adequacy Standard",95,"Core Housing Need","Housing Standards"
"46640",2016-07-01,"2016","Below Suitability Standard",140,"Core Housing Need","Housing Standards"
"46640",2016-07-01,"2016","Below One or More Housing Standards",440,"Core Housing Need","Housing Standards"
"46640",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"46640",2016-07-01,"2016","Total",440,"Core Housing Need","Housing Standards"
"46640",2021-07-01,"2021","Below Affordability Standard",365,"Core Housing Need","Housing Standards"
"46640",2021-07-01,"2021","Below Adequacy Standard",40,"Core Housing Need","Housing Standards"
"46640",2021-07-01,"2021","Below Suitability Standard",130,"Core Housing Need","Housing Standards"
"46640",2021-07-01,"2021","Below One or More Housing Standards",435,"Core Housing Need","Housing Standards"
"46640",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"46640",2021-07-01,"2021","Total",435,"Core Housing Need","Housing Standards"
