"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"24428",2006-07-01,"2006","Below Affordability Standard",45.2,"Core Housing Need","Housing Standards"
"24428",2006-07-01,"2006","Below Adequacy Standard",5.2,"Core Housing Need","Housing Standards"
"24428",2006-07-01,"2006","Below Suitability Standard",12.9,"Core Housing Need","Housing Standards"
"24428",2006-07-01,"2006","Below One or More Housing Standards",34,"Core Housing Need","Housing Standards"
"24428",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24428",2006-07-01,"2006","Total",7.5,"Core Housing Need","Housing Standards"
"24428",2011-07-01,"2011","Below Affordability Standard",34.4,"Core Housing Need","Housing Standards"
"24428",2011-07-01,"2011","Below Adequacy Standard",0,"Core Housing Need","Housing Standards"
"24428",2011-07-01,"2011","Below Suitability Standard",20.9,"Core Housing Need","Housing Standards"
"24428",2011-07-01,"2011","Below One or More Housing Standards",27,"Core Housing Need","Housing Standards"
"24428",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24428",2011-07-01,"2011","Total",5.8,"Core Housing Need","Housing Standards"
"24428",2016-07-01,"2016","Below Affordability Standard",33.8,"Core Housing Need","Housing Standards"
"24428",2016-07-01,"2016","Below Adequacy Standard",14.3,"Core Housing Need","Housing Standards"
"24428",2016-07-01,"2016","Below Suitability Standard",5.9,"Core Housing Need","Housing Standards"
"24428",2016-07-01,"2016","Below One or More Housing Standards",28.5,"Core Housing Need","Housing Standards"
"24428",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"24428",2016-07-01,"2016","Total",5.8,"Core Housing Need","Housing Standards"
"24428",2021-07-01,"2021","Below Affordability Standard",30.6,"Core Housing Need","Housing Standards"
"24428",2021-07-01,"2021","Below Adequacy Standard",9.4,"Core Housing Need","Housing Standards"
"24428",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"24428",2021-07-01,"2021","Below One or More Housing Standards",22.2,"Core Housing Need","Housing Standards"
"24428",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"24428",2021-07-01,"2021","Total",3.2,"Core Housing Need","Housing Standards"
