"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"59938",2006-07-01,"2006","Below Affordability Standard",4225,"Core Housing Need","Housing Standards"
"59938",2006-07-01,"2006","Below Adequacy Standard",735,"Core Housing Need","Housing Standards"
"59938",2006-07-01,"2006","Below Suitability Standard",370,"Core Housing Need","Housing Standards"
"59938",2006-07-01,"2006","Below One or More Housing Standards",4505,"Core Housing Need","Housing Standards"
"59938",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"59938",2006-07-01,"2006","Total",4510,"Core Housing Need","Housing Standards"
"59938",2011-07-01,"2011","Below Affordability Standard",5265,"Core Housing Need","Housing Standards"
"59938",2011-07-01,"2011","Below Adequacy Standard",835,"Core Housing Need","Housing Standards"
"59938",2011-07-01,"2011","Below Suitability Standard",395,"Core Housing Need","Housing Standards"
"59938",2011-07-01,"2011","Below One or More Housing Standards",5505,"Core Housing Need","Housing Standards"
"59938",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"59938",2011-07-01,"2011","Total",5500,"Core Housing Need","Housing Standards"
"59938",2016-07-01,"2016","Below Affordability Standard",5310,"Core Housing Need","Housing Standards"
"59938",2016-07-01,"2016","Below Adequacy Standard",805,"Core Housing Need","Housing Standards"
"59938",2016-07-01,"2016","Below Suitability Standard",405,"Core Housing Need","Housing Standards"
"59938",2016-07-01,"2016","Below One or More Housing Standards",5635,"Core Housing Need","Housing Standards"
"59938",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"59938",2016-07-01,"2016","Total",5635,"Core Housing Need","Housing Standards"
"59938",2021-07-01,"2021","Below Affordability Standard",4975,"Core Housing Need","Housing Standards"
"59938",2021-07-01,"2021","Below Adequacy Standard",620,"Core Housing Need","Housing Standards"
"59938",2021-07-01,"2021","Below Suitability Standard",310,"Core Housing Need","Housing Standards"
"59938",2021-07-01,"2021","Below One or More Housing Standards",5345,"Core Housing Need","Housing Standards"
"59938",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"59938",2021-07-01,"2021","Total",5345,"Core Housing Need","Housing Standards"
