"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"24423",2006-07-01,"2006","Below Affordability Standard",39.6,"Core Housing Need","Housing Standards"
"24423",2006-07-01,"2006","Below Adequacy Standard",11.1,"Core Housing Need","Housing Standards"
"24423",2006-07-01,"2006","Below Suitability Standard",9.8,"Core Housing Need","Housing Standards"
"24423",2006-07-01,"2006","Below One or More Housing Standards",27.4,"Core Housing Need","Housing Standards"
"24423",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24423",2006-07-01,"2006","Total",5,"Core Housing Need","Housing Standards"
"24423",2011-07-01,"2011","Below Affordability Standard",34,"Core Housing Need","Housing Standards"
"24423",2011-07-01,"2011","Below Adequacy Standard",22.2,"Core Housing Need","Housing Standards"
"24423",2011-07-01,"2011","Below Suitability Standard",10.2,"Core Housing Need","Housing Standards"
"24423",2011-07-01,"2011","Below One or More Housing Standards",24.4,"Core Housing Need","Housing Standards"
"24423",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24423",2011-07-01,"2011","Total",5.4,"Core Housing Need","Housing Standards"
"24423",2016-07-01,"2016","Below Affordability Standard",20.6,"Core Housing Need","Housing Standards"
"24423",2016-07-01,"2016","Below Adequacy Standard",0,"Core Housing Need","Housing Standards"
"24423",2016-07-01,"2016","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"24423",2016-07-01,"2016","Below One or More Housing Standards",16.5,"Core Housing Need","Housing Standards"
"24423",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"24423",2016-07-01,"2016","Total",2.7,"Core Housing Need","Housing Standards"
"24423",2021-07-01,"2021","Below Affordability Standard",17.4,"Core Housing Need","Housing Standards"
"24423",2021-07-01,"2021","Below Adequacy Standard",0,"Core Housing Need","Housing Standards"
"24423",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"24423",2021-07-01,"2021","Below One or More Housing Standards",11.4,"Core Housing Need","Housing Standards"
"24423",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"24423",2021-07-01,"2021","Total",1.4,"Core Housing Need","Housing Standards"
