"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"47750",2006-07-01,"2006","Below Affordability Standard",650,"Core Housing Need","Housing Standards"
"47750",2006-07-01,"2006","Below Adequacy Standard",270,"Core Housing Need","Housing Standards"
"47750",2006-07-01,"2006","Below Suitability Standard",130,"Core Housing Need","Housing Standards"
"47750",2006-07-01,"2006","Below One or More Housing Standards",980,"Core Housing Need","Housing Standards"
"47750",2006-07-01,"2006","Above Standards",3515,"Core Housing Need","Housing Standards"
"47750",2006-07-01,"2006","Total",4500,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Below Affordability Standard",635,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Below Adequacy Standard",505,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Below Suitability Standard",210,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Below One or More Housing Standards",1240,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Above Standards",3690,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Total",4930,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Below Affordability Standard",715,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Below Adequacy Standard",320,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Below Suitability Standard",160,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Below One or More Housing Standards",1120,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Above Standards",4190,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Total",5310,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Below Affordability Standard",660,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Below Adequacy Standard",295,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Below Suitability Standard",145,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Below One or More Housing Standards",1055,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Above Standards",4155,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Total",5210,"Core Housing Need","Housing Standards"
