"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"24437",2006-07-01,"2006","Below Affordability Standard",310,"Core Housing Need","Housing Standards"
"24437",2006-07-01,"2006","Below Adequacy Standard",50,"Core Housing Need","Housing Standards"
"24437",2006-07-01,"2006","Below Suitability Standard",30,"Core Housing Need","Housing Standards"
"24437",2006-07-01,"2006","Below One or More Housing Standards",320,"Core Housing Need","Housing Standards"
"24437",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24437",2006-07-01,"2006","Total",320,"Core Housing Need","Housing Standards"
"24437",2011-07-01,"2011","Below Affordability Standard",480,"Core Housing Need","Housing Standards"
"24437",2011-07-01,"2011","Below Adequacy Standard",25,"Core Housing Need","Housing Standards"
"24437",2011-07-01,"2011","Below Suitability Standard",55,"Core Housing Need","Housing Standards"
"24437",2011-07-01,"2011","Below One or More Housing Standards",495,"Core Housing Need","Housing Standards"
"24437",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24437",2011-07-01,"2011","Total",495,"Core Housing Need","Housing Standards"
"24437",2016-07-01,"2016","Below Affordability Standard",385,"Core Housing Need","Housing Standards"
"24437",2016-07-01,"2016","Below Adequacy Standard",60,"Core Housing Need","Housing Standards"
"24437",2016-07-01,"2016","Below Suitability Standard",35,"Core Housing Need","Housing Standards"
"24437",2016-07-01,"2016","Below One or More Housing Standards",415,"Core Housing Need","Housing Standards"
"24437",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"24437",2016-07-01,"2016","Total",420,"Core Housing Need","Housing Standards"
"24437",2021-07-01,"2021","Below Affordability Standard",240,"Core Housing Need","Housing Standards"
"24437",2021-07-01,"2021","Below Adequacy Standard",20,"Core Housing Need","Housing Standards"
"24437",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"24437",2021-07-01,"2021","Below One or More Housing Standards",255,"Core Housing Need","Housing Standards"
"24437",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"24437",2021-07-01,"2021","Total",255,"Core Housing Need","Housing Standards"
