"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"46605",2016-07-01,"2016","Below Affordability Standard",50,"Core Housing Need","Housing Standards"
"46605",2016-07-01,"2016","Below Adequacy Standard",26.7,"Core Housing Need","Housing Standards"
"46605",2016-07-01,"2016","Below Suitability Standard",38.8,"Core Housing Need","Housing Standards"
"46605",2016-07-01,"2016","Below One or More Housing Standards",42.9,"Core Housing Need","Housing Standards"
"46605",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"46605",2016-07-01,"2016","Total",11.7,"Core Housing Need","Housing Standards"
"46605",2021-07-01,"2021","Below Affordability Standard",39,"Core Housing Need","Housing Standards"
"46605",2021-07-01,"2021","Below Adequacy Standard",22.5,"Core Housing Need","Housing Standards"
"46605",2021-07-01,"2021","Below Suitability Standard",15.9,"Core Housing Need","Housing Standards"
"46605",2021-07-01,"2021","Below One or More Housing Standards",31.6,"Core Housing Need","Housing Standards"
"46605",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"46605",2021-07-01,"2021","Total",8.4,"Core Housing Need","Housing Standards"
