"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"12215",2006-07-01,"2006","Below Affordability Standard",1765,"Core Housing Need","Housing Standards"
"12215",2006-07-01,"2006","Below Adequacy Standard",445,"Core Housing Need","Housing Standards"
"12215",2006-07-01,"2006","Below Suitability Standard",130,"Core Housing Need","Housing Standards"
"12215",2006-07-01,"2006","Below One or More Housing Standards",1935,"Core Housing Need","Housing Standards"
"12215",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"12215",2006-07-01,"2006","Total",1935,"Core Housing Need","Housing Standards"
"12215",2011-07-01,"2011","Below Affordability Standard",1575,"Core Housing Need","Housing Standards"
"12215",2011-07-01,"2011","Below Adequacy Standard",435,"Core Housing Need","Housing Standards"
"12215",2011-07-01,"2011","Below Suitability Standard",45,"Core Housing Need","Housing Standards"
"12215",2011-07-01,"2011","Below One or More Housing Standards",1680,"Core Housing Need","Housing Standards"
"12215",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"12215",2011-07-01,"2011","Total",1680,"Core Housing Need","Housing Standards"
"12215",2016-07-01,"2016","Below Affordability Standard",1960,"Core Housing Need","Housing Standards"
"12215",2016-07-01,"2016","Below Adequacy Standard",345,"Core Housing Need","Housing Standards"
"12215",2016-07-01,"2016","Below Suitability Standard",135,"Core Housing Need","Housing Standards"
"12215",2016-07-01,"2016","Below One or More Housing Standards",2085,"Core Housing Need","Housing Standards"
"12215",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"12215",2016-07-01,"2016","Total",2090,"Core Housing Need","Housing Standards"
"12215",2021-07-01,"2021","Below Affordability Standard",1505,"Core Housing Need","Housing Standards"
"12215",2021-07-01,"2021","Below Adequacy Standard",340,"Core Housing Need","Housing Standards"
"12215",2021-07-01,"2021","Below Suitability Standard",85,"Core Housing Need","Housing Standards"
"12215",2021-07-01,"2021","Below One or More Housing Standards",1670,"Core Housing Need","Housing Standards"
"12215",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"12215",2021-07-01,"2021","Total",1670,"Core Housing Need","Housing Standards"
