"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"35547",2006-07-01,"2006","Below Affordability Standard",2080,"Core Housing Need","Housing Standards"
"35547",2006-07-01,"2006","Below Adequacy Standard",350,"Core Housing Need","Housing Standards"
"35547",2006-07-01,"2006","Below Suitability Standard",125,"Core Housing Need","Housing Standards"
"35547",2006-07-01,"2006","Below One or More Housing Standards",2145,"Core Housing Need","Housing Standards"
"35547",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35547",2006-07-01,"2006","Total",2145,"Core Housing Need","Housing Standards"
"35547",2011-07-01,"2011","Below Affordability Standard",1660,"Core Housing Need","Housing Standards"
"35547",2011-07-01,"2011","Below Adequacy Standard",300,"Core Housing Need","Housing Standards"
"35547",2011-07-01,"2011","Below Suitability Standard",70,"Core Housing Need","Housing Standards"
"35547",2011-07-01,"2011","Below One or More Housing Standards",1755,"Core Housing Need","Housing Standards"
"35547",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35547",2011-07-01,"2011","Total",1755,"Core Housing Need","Housing Standards"
"35547",2016-07-01,"2016","Below Affordability Standard",2010,"Core Housing Need","Housing Standards"
"35547",2016-07-01,"2016","Below Adequacy Standard",320,"Core Housing Need","Housing Standards"
"35547",2016-07-01,"2016","Below Suitability Standard",70,"Core Housing Need","Housing Standards"
"35547",2016-07-01,"2016","Below One or More Housing Standards",2135,"Core Housing Need","Housing Standards"
"35547",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35547",2016-07-01,"2016","Total",2135,"Core Housing Need","Housing Standards"
"35547",2021-07-01,"2021","Below Affordability Standard",1540,"Core Housing Need","Housing Standards"
"35547",2021-07-01,"2021","Below Adequacy Standard",195,"Core Housing Need","Housing Standards"
"35547",2021-07-01,"2021","Below Suitability Standard",25,"Core Housing Need","Housing Standards"
"35547",2021-07-01,"2021","Below One or More Housing Standards",1600,"Core Housing Need","Housing Standards"
"35547",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35547",2021-07-01,"2021","Total",1600,"Core Housing Need","Housing Standards"
