"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"59913",2006-07-01,"2006","Below Affordability Standard",4450,"Core Housing Need","Housing Standards"
"59913",2006-07-01,"2006","Below Adequacy Standard",1040,"Core Housing Need","Housing Standards"
"59913",2006-07-01,"2006","Below Suitability Standard",655,"Core Housing Need","Housing Standards"
"59913",2006-07-01,"2006","Below One or More Housing Standards",5515,"Core Housing Need","Housing Standards"
"59913",2006-07-01,"2006","Above Standards",12375,"Core Housing Need","Housing Standards"
"59913",2006-07-01,"2006","Total",17895,"Core Housing Need","Housing Standards"
"59913",2011-07-01,"2011","Below Affordability Standard",4625,"Core Housing Need","Housing Standards"
"59913",2011-07-01,"2011","Below Adequacy Standard",1210,"Core Housing Need","Housing Standards"
"59913",2011-07-01,"2011","Below Suitability Standard",540,"Core Housing Need","Housing Standards"
"59913",2011-07-01,"2011","Below One or More Housing Standards",5665,"Core Housing Need","Housing Standards"
"59913",2011-07-01,"2011","Above Standards",11620,"Core Housing Need","Housing Standards"
"59913",2011-07-01,"2011","Total",17280,"Core Housing Need","Housing Standards"
"59913",2016-07-01,"2016","Below Affordability Standard",4535,"Core Housing Need","Housing Standards"
"59913",2016-07-01,"2016","Below Adequacy Standard",1075,"Core Housing Need","Housing Standards"
"59913",2016-07-01,"2016","Below Suitability Standard",500,"Core Housing Need","Housing Standards"
"59913",2016-07-01,"2016","Below One or More Housing Standards",5615,"Core Housing Need","Housing Standards"
"59913",2016-07-01,"2016","Above Standards",12830,"Core Housing Need","Housing Standards"
"59913",2016-07-01,"2016","Total",18440,"Core Housing Need","Housing Standards"
"59913",2021-07-01,"2021","Below Affordability Standard",4610,"Core Housing Need","Housing Standards"
"59913",2021-07-01,"2021","Below Adequacy Standard",1175,"Core Housing Need","Housing Standards"
"59913",2021-07-01,"2021","Below Suitability Standard",510,"Core Housing Need","Housing Standards"
"59913",2021-07-01,"2021","Below One or More Housing Standards",5835,"Core Housing Need","Housing Standards"
"59913",2021-07-01,"2021","Above Standards",14550,"Core Housing Need","Housing Standards"
"59913",2021-07-01,"2021","Total",20390,"Core Housing Need","Housing Standards"
