"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"46607",2006-07-01,"2006","Below Affordability Standard",51.8,"Core Housing Need","Housing Standards"
"46607",2006-07-01,"2006","Below Adequacy Standard",23.7,"Core Housing Need","Housing Standards"
"46607",2006-07-01,"2006","Below Suitability Standard",18.5,"Core Housing Need","Housing Standards"
"46607",2006-07-01,"2006","Below One or More Housing Standards",33.4,"Core Housing Need","Housing Standards"
"46607",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"46607",2006-07-01,"2006","Total",8.2,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Below Affordability Standard",32.8,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Below Adequacy Standard",26.1,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Below Suitability Standard",17.8,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Below One or More Housing Standards",26.2,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Total",7.1,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Below Affordability Standard",46.2,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Below Adequacy Standard",19.8,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Below Suitability Standard",34.5,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Below One or More Housing Standards",33.7,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Total",8.9,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Below Affordability Standard",42.9,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Below Adequacy Standard",16.2,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Below Suitability Standard",17,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Below One or More Housing Standards",30.9,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Total",7.9,"Core Housing Need","Housing Standards"
