"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"24412",2006-07-01,"2006","Below Affordability Standard",1390,"Core Housing Need","Housing Standards"
"24412",2006-07-01,"2006","Below Adequacy Standard",1115,"Core Housing Need","Housing Standards"
"24412",2006-07-01,"2006","Below Suitability Standard",240,"Core Housing Need","Housing Standards"
"24412",2006-07-01,"2006","Below One or More Housing Standards",2545,"Core Housing Need","Housing Standards"
"24412",2006-07-01,"2006","Above Standards",8250,"Core Housing Need","Housing Standards"
"24412",2006-07-01,"2006","Total",10790,"Core Housing Need","Housing Standards"
"24412",2011-07-01,"2011","Below Affordability Standard",1360,"Core Housing Need","Housing Standards"
"24412",2011-07-01,"2011","Below Adequacy Standard",1150,"Core Housing Need","Housing Standards"
"24412",2011-07-01,"2011","Below Suitability Standard",240,"Core Housing Need","Housing Standards"
"24412",2011-07-01,"2011","Below One or More Housing Standards",2600,"Core Housing Need","Housing Standards"
"24412",2011-07-01,"2011","Above Standards",8310,"Core Housing Need","Housing Standards"
"24412",2011-07-01,"2011","Total",10915,"Core Housing Need","Housing Standards"
"24412",2016-07-01,"2016","Below Affordability Standard",1375,"Core Housing Need","Housing Standards"
"24412",2016-07-01,"2016","Below Adequacy Standard",875,"Core Housing Need","Housing Standards"
"24412",2016-07-01,"2016","Below Suitability Standard",190,"Core Housing Need","Housing Standards"
"24412",2016-07-01,"2016","Below One or More Housing Standards",2315,"Core Housing Need","Housing Standards"
"24412",2016-07-01,"2016","Above Standards",8815,"Core Housing Need","Housing Standards"
"24412",2016-07-01,"2016","Total",11135,"Core Housing Need","Housing Standards"
"24412",2021-07-01,"2021","Below Affordability Standard",1105,"Core Housing Need","Housing Standards"
"24412",2021-07-01,"2021","Below Adequacy Standard",790,"Core Housing Need","Housing Standards"
"24412",2021-07-01,"2021","Below Suitability Standard",105,"Core Housing Need","Housing Standards"
"24412",2021-07-01,"2021","Below One or More Housing Standards",1915,"Core Housing Need","Housing Standards"
"24412",2021-07-01,"2021","Above Standards",9270,"Core Housing Need","Housing Standards"
"24412",2021-07-01,"2021","Total",11185,"Core Housing Need","Housing Standards"
