"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"35521",2006-07-01,"2006","Below Affordability Standard",51.6,"Core Housing Need","Housing Standards"
"35521",2006-07-01,"2006","Below Adequacy Standard",33.2,"Core Housing Need","Housing Standards"
"35521",2006-07-01,"2006","Below Suitability Standard",31.7,"Core Housing Need","Housing Standards"
"35521",2006-07-01,"2006","Below One or More Housing Standards",43.2,"Core Housing Need","Housing Standards"
"35521",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35521",2006-07-01,"2006","Total",12.7,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Below Affordability Standard",50.6,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Below Adequacy Standard",26.8,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Below Suitability Standard",28,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Below One or More Housing Standards",41.4,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Total",12.7,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Below Affordability Standard",55.7,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Below Adequacy Standard",31.6,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Below Suitability Standard",36.2,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Below One or More Housing Standards",48.1,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Total",14.2,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Below Affordability Standard",41.2,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Below Adequacy Standard",22.5,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Below Suitability Standard",21.6,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Below One or More Housing Standards",33.7,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Total",9.5,"Core Housing Need","Housing Standards"
