"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35530",2006-07-01,"2006","Below Affordability Standard",6230,"Core Housing Need","Housing Standards"
"35530",2006-07-01,"2006","Below Adequacy Standard",1970,"Core Housing Need","Housing Standards"
"35530",2006-07-01,"2006","Below Suitability Standard",985,"Core Housing Need","Housing Standards"
"35530",2006-07-01,"2006","Below One or More Housing Standards",8200,"Core Housing Need","Housing Standards"
"35530",2006-07-01,"2006","Above Standards",19690,"Core Housing Need","Housing Standards"
"35530",2006-07-01,"2006","Total",27890,"Core Housing Need","Housing Standards"
"35530",2011-07-01,"2011","Below Affordability Standard",6120,"Core Housing Need","Housing Standards"
"35530",2011-07-01,"2011","Below Adequacy Standard",1675,"Core Housing Need","Housing Standards"
"35530",2011-07-01,"2011","Below Suitability Standard",970,"Core Housing Need","Housing Standards"
"35530",2011-07-01,"2011","Below One or More Housing Standards",8070,"Core Housing Need","Housing Standards"
"35530",2011-07-01,"2011","Above Standards",19445,"Core Housing Need","Housing Standards"
"35530",2011-07-01,"2011","Total",27515,"Core Housing Need","Housing Standards"
"35530",2016-07-01,"2016","Below Affordability Standard",6275,"Core Housing Need","Housing Standards"
"35530",2016-07-01,"2016","Below Adequacy Standard",1880,"Core Housing Need","Housing Standards"
"35530",2016-07-01,"2016","Below Suitability Standard",755,"Core Housing Need","Housing Standards"
"35530",2016-07-01,"2016","Below One or More Housing Standards",8135,"Core Housing Need","Housing Standards"
"35530",2016-07-01,"2016","Above Standards",21090,"Core Housing Need","Housing Standards"
"35530",2016-07-01,"2016","Total",29220,"Core Housing Need","Housing Standards"
"35530",2021-07-01,"2021","Below Affordability Standard",5620,"Core Housing Need","Housing Standards"
"35530",2021-07-01,"2021","Below Adequacy Standard",2120,"Core Housing Need","Housing Standards"
"35530",2021-07-01,"2021","Below Suitability Standard",855,"Core Housing Need","Housing Standards"
"35530",2021-07-01,"2021","Below One or More Housing Standards",7840,"Core Housing Need","Housing Standards"
"35530",2021-07-01,"2021","Above Standards",23495,"Core Housing Need","Housing Standards"
"35530",2021-07-01,"2021","Total",31335,"Core Housing Need","Housing Standards"
