"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"35598",2006-07-01,"2006","Below Affordability Standard",43,"Core Housing Need","Housing Standards"
"35598",2006-07-01,"2006","Below Adequacy Standard",30.4,"Core Housing Need","Housing Standards"
"35598",2006-07-01,"2006","Below Suitability Standard",21.9,"Core Housing Need","Housing Standards"
"35598",2006-07-01,"2006","Below One or More Housing Standards",32.4,"Core Housing Need","Housing Standards"
"35598",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35598",2006-07-01,"2006","Total",8.9,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Below Affordability Standard",53,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Below Adequacy Standard",43.4,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Below Suitability Standard",19.9,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Below One or More Housing Standards",36.7,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Total",10.9,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Below Affordability Standard",56.5,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Below Adequacy Standard",20.5,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Below Suitability Standard",25,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Below One or More Housing Standards",39.9,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Total",11.5,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Below Affordability Standard",37.3,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Below Adequacy Standard",9.5,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Below Suitability Standard",10.4,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Below One or More Housing Standards",24.2,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Total",6.5,"Core Housing Need","Housing Standards"
