"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"35531",2006-07-01,"2006","Below Affordability Standard",870,"Core Housing Need","Housing Standards"
"35531",2006-07-01,"2006","Below Adequacy Standard",100,"Core Housing Need","Housing Standards"
"35531",2006-07-01,"2006","Below Suitability Standard",50,"Core Housing Need","Housing Standards"
"35531",2006-07-01,"2006","Below One or More Housing Standards",935,"Core Housing Need","Housing Standards"
"35531",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35531",2006-07-01,"2006","Total",935,"Core Housing Need","Housing Standards"
"35531",2011-07-01,"2011","Below Affordability Standard",755,"Core Housing Need","Housing Standards"
"35531",2011-07-01,"2011","Below Adequacy Standard",110,"Core Housing Need","Housing Standards"
"35531",2011-07-01,"2011","Below Suitability Standard",45,"Core Housing Need","Housing Standards"
"35531",2011-07-01,"2011","Below One or More Housing Standards",800,"Core Housing Need","Housing Standards"
"35531",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35531",2011-07-01,"2011","Total",805,"Core Housing Need","Housing Standards"
"35531",2016-07-01,"2016","Below Affordability Standard",655,"Core Housing Need","Housing Standards"
"35531",2016-07-01,"2016","Below Adequacy Standard",40,"Core Housing Need","Housing Standards"
"35531",2016-07-01,"2016","Below Suitability Standard",40,"Core Housing Need","Housing Standards"
"35531",2016-07-01,"2016","Below One or More Housing Standards",665,"Core Housing Need","Housing Standards"
"35531",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35531",2016-07-01,"2016","Total",670,"Core Housing Need","Housing Standards"
"35531",2021-07-01,"2021","Below Affordability Standard",570,"Core Housing Need","Housing Standards"
"35531",2021-07-01,"2021","Below Adequacy Standard",60,"Core Housing Need","Housing Standards"
"35531",2021-07-01,"2021","Below Suitability Standard",30,"Core Housing Need","Housing Standards"
"35531",2021-07-01,"2021","Below One or More Housing Standards",600,"Core Housing Need","Housing Standards"
"35531",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35531",2021-07-01,"2021","Total",600,"Core Housing Need","Housing Standards"
