"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"35529",2006-07-01,"2006","Below Affordability Standard",5750,"Core Housing Need","Housing Standards"
"35529",2006-07-01,"2006","Below Adequacy Standard",960,"Core Housing Need","Housing Standards"
"35529",2006-07-01,"2006","Below Suitability Standard",505,"Core Housing Need","Housing Standards"
"35529",2006-07-01,"2006","Below One or More Housing Standards",6160,"Core Housing Need","Housing Standards"
"35529",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35529",2006-07-01,"2006","Total",6160,"Core Housing Need","Housing Standards"
"35529",2011-07-01,"2011","Below Affordability Standard",5675,"Core Housing Need","Housing Standards"
"35529",2011-07-01,"2011","Below Adequacy Standard",755,"Core Housing Need","Housing Standards"
"35529",2011-07-01,"2011","Below Suitability Standard",525,"Core Housing Need","Housing Standards"
"35529",2011-07-01,"2011","Below One or More Housing Standards",6055,"Core Housing Need","Housing Standards"
"35529",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35529",2011-07-01,"2011","Total",6055,"Core Housing Need","Housing Standards"
"35529",2016-07-01,"2016","Below Affordability Standard",6775,"Core Housing Need","Housing Standards"
"35529",2016-07-01,"2016","Below Adequacy Standard",925,"Core Housing Need","Housing Standards"
"35529",2016-07-01,"2016","Below Suitability Standard",490,"Core Housing Need","Housing Standards"
"35529",2016-07-01,"2016","Below One or More Housing Standards",7225,"Core Housing Need","Housing Standards"
"35529",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35529",2016-07-01,"2016","Total",7220,"Core Housing Need","Housing Standards"
"35529",2021-07-01,"2021","Below Affordability Standard",5510,"Core Housing Need","Housing Standards"
"35529",2021-07-01,"2021","Below Adequacy Standard",900,"Core Housing Need","Housing Standards"
"35529",2021-07-01,"2021","Below Suitability Standard",370,"Core Housing Need","Housing Standards"
"35529",2021-07-01,"2021","Below One or More Housing Standards",5930,"Core Housing Need","Housing Standards"
"35529",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35529",2021-07-01,"2021","Total",5930,"Core Housing Need","Housing Standards"
