"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"24440",2006-07-01,"2006","Below Affordability Standard",49.8,"Core Housing Need","Housing Standards"
"24440",2006-07-01,"2006","Below Adequacy Standard",18.2,"Core Housing Need","Housing Standards"
"24440",2006-07-01,"2006","Below Suitability Standard",16.4,"Core Housing Need","Housing Standards"
"24440",2006-07-01,"2006","Below One or More Housing Standards",38.7,"Core Housing Need","Housing Standards"
"24440",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24440",2006-07-01,"2006","Total",8.8,"Core Housing Need","Housing Standards"
"24440",2011-07-01,"2011","Below Affordability Standard",36,"Core Housing Need","Housing Standards"
"24440",2011-07-01,"2011","Below Adequacy Standard",12.8,"Core Housing Need","Housing Standards"
"24440",2011-07-01,"2011","Below Suitability Standard",11.9,"Core Housing Need","Housing Standards"
"24440",2011-07-01,"2011","Below One or More Housing Standards",30,"Core Housing Need","Housing Standards"
"24440",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24440",2011-07-01,"2011","Total",7.5,"Core Housing Need","Housing Standards"
"24440",2016-07-01,"2016","Below Affordability Standard",31.1,"Core Housing Need","Housing Standards"
"24440",2016-07-01,"2016","Below Adequacy Standard",10.8,"Core Housing Need","Housing Standards"
"24440",2016-07-01,"2016","Below Suitability Standard",8.3,"Core Housing Need","Housing Standards"
"24440",2016-07-01,"2016","Below One or More Housing Standards",25.7,"Core Housing Need","Housing Standards"
"24440",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"24440",2016-07-01,"2016","Total",5.3,"Core Housing Need","Housing Standards"
"24440",2021-07-01,"2021","Below Affordability Standard",17.6,"Core Housing Need","Housing Standards"
"24440",2021-07-01,"2021","Below Adequacy Standard",2.6,"Core Housing Need","Housing Standards"
"24440",2021-07-01,"2021","Below Suitability Standard",4.9,"Core Housing Need","Housing Standards"
"24440",2021-07-01,"2021","Below One or More Housing Standards",13.7,"Core Housing Need","Housing Standards"
"24440",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"24440",2021-07-01,"2021","Total",2.2,"Core Housing Need","Housing Standards"
