"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"59943",2006-07-01,"2006","Below Affordability Standard",1805,"Core Housing Need","Housing Standards"
"59943",2006-07-01,"2006","Below Adequacy Standard",275,"Core Housing Need","Housing Standards"
"59943",2006-07-01,"2006","Below Suitability Standard",170,"Core Housing Need","Housing Standards"
"59943",2006-07-01,"2006","Below One or More Housing Standards",1905,"Core Housing Need","Housing Standards"
"59943",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"59943",2006-07-01,"2006","Total",1905,"Core Housing Need","Housing Standards"
"59943",2011-07-01,"2011","Below Affordability Standard",2740,"Core Housing Need","Housing Standards"
"59943",2011-07-01,"2011","Below Adequacy Standard",405,"Core Housing Need","Housing Standards"
"59943",2011-07-01,"2011","Below Suitability Standard",185,"Core Housing Need","Housing Standards"
"59943",2011-07-01,"2011","Below One or More Housing Standards",2915,"Core Housing Need","Housing Standards"
"59943",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"59943",2011-07-01,"2011","Total",2915,"Core Housing Need","Housing Standards"
"59943",2016-07-01,"2016","Below Affordability Standard",2480,"Core Housing Need","Housing Standards"
"59943",2016-07-01,"2016","Below Adequacy Standard",350,"Core Housing Need","Housing Standards"
"59943",2016-07-01,"2016","Below Suitability Standard",120,"Core Housing Need","Housing Standards"
"59943",2016-07-01,"2016","Below One or More Housing Standards",2655,"Core Housing Need","Housing Standards"
"59943",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"59943",2016-07-01,"2016","Total",2655,"Core Housing Need","Housing Standards"
"59943",2021-07-01,"2021","Below Affordability Standard",2240,"Core Housing Need","Housing Standards"
"59943",2021-07-01,"2021","Below Adequacy Standard",385,"Core Housing Need","Housing Standards"
"59943",2021-07-01,"2021","Below Suitability Standard",155,"Core Housing Need","Housing Standards"
"59943",2021-07-01,"2021","Below One or More Housing Standards",2485,"Core Housing Need","Housing Standards"
"59943",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"59943",2021-07-01,"2021","Total",2485,"Core Housing Need","Housing Standards"
