"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"24465",2006-07-01,"2006","Below Affordability Standard",3515,"Core Housing Need","Housing Standards"
"24465",2006-07-01,"2006","Below Adequacy Standard",1570,"Core Housing Need","Housing Standards"
"24465",2006-07-01,"2006","Below Suitability Standard",540,"Core Housing Need","Housing Standards"
"24465",2006-07-01,"2006","Below One or More Housing Standards",4960,"Core Housing Need","Housing Standards"
"24465",2006-07-01,"2006","Above Standards",12150,"Core Housing Need","Housing Standards"
"24465",2006-07-01,"2006","Total",17110,"Core Housing Need","Housing Standards"
"24465",2011-07-01,"2011","Below Affordability Standard",3870,"Core Housing Need","Housing Standards"
"24465",2011-07-01,"2011","Below Adequacy Standard",1410,"Core Housing Need","Housing Standards"
"24465",2011-07-01,"2011","Below Suitability Standard",465,"Core Housing Need","Housing Standards"
"24465",2011-07-01,"2011","Below One or More Housing Standards",5200,"Core Housing Need","Housing Standards"
"24465",2011-07-01,"2011","Above Standards",12420,"Core Housing Need","Housing Standards"
"24465",2011-07-01,"2011","Total",17620,"Core Housing Need","Housing Standards"
"24465",2016-07-01,"2016","Below Affordability Standard",4170,"Core Housing Need","Housing Standards"
"24465",2016-07-01,"2016","Below Adequacy Standard",1170,"Core Housing Need","Housing Standards"
"24465",2016-07-01,"2016","Below Suitability Standard",490,"Core Housing Need","Housing Standards"
"24465",2016-07-01,"2016","Below One or More Housing Standards",5315,"Core Housing Need","Housing Standards"
"24465",2016-07-01,"2016","Above Standards",13020,"Core Housing Need","Housing Standards"
"24465",2016-07-01,"2016","Total",18335,"Core Housing Need","Housing Standards"
"24465",2021-07-01,"2021","Below Affordability Standard",3215,"Core Housing Need","Housing Standards"
"24465",2021-07-01,"2021","Below Adequacy Standard",1235,"Core Housing Need","Housing Standards"
"24465",2021-07-01,"2021","Below Suitability Standard",420,"Core Housing Need","Housing Standards"
"24465",2021-07-01,"2021","Below One or More Housing Standards",4590,"Core Housing Need","Housing Standards"
"24465",2021-07-01,"2021","Above Standards",15220,"Core Housing Need","Housing Standards"
"24465",2021-07-01,"2021","Total",19810,"Core Housing Need","Housing Standards"
