"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"48826",2016-07-01,"2016","Below Affordability Standard",935,"Core Housing Need","Housing Standards"
"48826",2016-07-01,"2016","Below Adequacy Standard",205,"Core Housing Need","Housing Standards"
"48826",2016-07-01,"2016","Below Suitability Standard",110,"Core Housing Need","Housing Standards"
"48826",2016-07-01,"2016","Below One or More Housing Standards",1220,"Core Housing Need","Housing Standards"
"48826",2016-07-01,"2016","Above Standards",3810,"Core Housing Need","Housing Standards"
"48826",2016-07-01,"2016","Total",5030,"Core Housing Need","Housing Standards"
"48826",2021-07-01,"2021","Below Affordability Standard",1070,"Core Housing Need","Housing Standards"
"48826",2021-07-01,"2021","Below Adequacy Standard",205,"Core Housing Need","Housing Standards"
"48826",2021-07-01,"2021","Below Suitability Standard",165,"Core Housing Need","Housing Standards"
"48826",2021-07-01,"2021","Below One or More Housing Standards",1335,"Core Housing Need","Housing Standards"
"48826",2021-07-01,"2021","Above Standards",4075,"Core Housing Need","Housing Standards"
"48826",2021-07-01,"2021","Total",5415,"Core Housing Need","Housing Standards"
