"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"48860",2006-07-01,"2006","Below Affordability Standard",2705,"Core Housing Need","Housing Standards"
"48860",2006-07-01,"2006","Below Adequacy Standard",1080,"Core Housing Need","Housing Standards"
"48860",2006-07-01,"2006","Below Suitability Standard",1095,"Core Housing Need","Housing Standards"
"48860",2006-07-01,"2006","Below One or More Housing Standards",4280,"Core Housing Need","Housing Standards"
"48860",2006-07-01,"2006","Above Standards",13035,"Core Housing Need","Housing Standards"
"48860",2006-07-01,"2006","Total",17315,"Core Housing Need","Housing Standards"
"48860",2011-07-01,"2011","Below Affordability Standard",3240,"Core Housing Need","Housing Standards"
"48860",2011-07-01,"2011","Below Adequacy Standard",1160,"Core Housing Need","Housing Standards"
"48860",2011-07-01,"2011","Below Suitability Standard",1480,"Core Housing Need","Housing Standards"
"48860",2011-07-01,"2011","Below One or More Housing Standards",5380,"Core Housing Need","Housing Standards"
"48860",2011-07-01,"2011","Above Standards",16650,"Core Housing Need","Housing Standards"
"48860",2011-07-01,"2011","Total",22030,"Core Housing Need","Housing Standards"
"48860",2016-07-01,"2016","Below Affordability Standard",2580,"Core Housing Need","Housing Standards"
"48860",2016-07-01,"2016","Below Adequacy Standard",1145,"Core Housing Need","Housing Standards"
"48860",2016-07-01,"2016","Below Suitability Standard",1500,"Core Housing Need","Housing Standards"
"48860",2016-07-01,"2016","Below One or More Housing Standards",4810,"Core Housing Need","Housing Standards"
"48860",2016-07-01,"2016","Above Standards",20105,"Core Housing Need","Housing Standards"
"48860",2016-07-01,"2016","Total",24915,"Core Housing Need","Housing Standards"
"48860",2021-07-01,"2021","Below Affordability Standard",2915,"Core Housing Need","Housing Standards"
"48860",2021-07-01,"2021","Below Adequacy Standard",1390,"Core Housing Need","Housing Standards"
"48860",2021-07-01,"2021","Below Suitability Standard",1580,"Core Housing Need","Housing Standards"
"48860",2021-07-01,"2021","Below One or More Housing Standards",5375,"Core Housing Need","Housing Standards"
"48860",2021-07-01,"2021","Above Standards",20105,"Core Housing Need","Housing Standards"
"48860",2021-07-01,"2021","Total",25480,"Core Housing Need","Housing Standards"
