"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"24444",2006-07-01,"2006","Below Affordability Standard",4910,"Core Housing Need","Housing Standards"
"24444",2006-07-01,"2006","Below Adequacy Standard",2030,"Core Housing Need","Housing Standards"
"24444",2006-07-01,"2006","Below Suitability Standard",500,"Core Housing Need","Housing Standards"
"24444",2006-07-01,"2006","Below One or More Housing Standards",6705,"Core Housing Need","Housing Standards"
"24444",2006-07-01,"2006","Above Standards",18610,"Core Housing Need","Housing Standards"
"24444",2006-07-01,"2006","Total",25315,"Core Housing Need","Housing Standards"
"24444",2011-07-01,"2011","Below Affordability Standard",4920,"Core Housing Need","Housing Standards"
"24444",2011-07-01,"2011","Below Adequacy Standard",1515,"Core Housing Need","Housing Standards"
"24444",2011-07-01,"2011","Below Suitability Standard",530,"Core Housing Need","Housing Standards"
"24444",2011-07-01,"2011","Below One or More Housing Standards",6510,"Core Housing Need","Housing Standards"
"24444",2011-07-01,"2011","Above Standards",18910,"Core Housing Need","Housing Standards"
"24444",2011-07-01,"2011","Total",25420,"Core Housing Need","Housing Standards"
"24444",2016-07-01,"2016","Below Affordability Standard",5025,"Core Housing Need","Housing Standards"
"24444",2016-07-01,"2016","Below Adequacy Standard",1620,"Core Housing Need","Housing Standards"
"24444",2016-07-01,"2016","Below Suitability Standard",290,"Core Housing Need","Housing Standards"
"24444",2016-07-01,"2016","Below One or More Housing Standards",6565,"Core Housing Need","Housing Standards"
"24444",2016-07-01,"2016","Above Standards",19280,"Core Housing Need","Housing Standards"
"24444",2016-07-01,"2016","Total",25840,"Core Housing Need","Housing Standards"
"24444",2021-07-01,"2021","Below Affordability Standard",3270,"Core Housing Need","Housing Standards"
"24444",2021-07-01,"2021","Below Adequacy Standard",1455,"Core Housing Need","Housing Standards"
"24444",2021-07-01,"2021","Below Suitability Standard",300,"Core Housing Need","Housing Standards"
"24444",2021-07-01,"2021","Below One or More Housing Standards",4780,"Core Housing Need","Housing Standards"
"24444",2021-07-01,"2021","Above Standards",20015,"Core Housing Need","Housing Standards"
"24444",2021-07-01,"2021","Total",24790,"Core Housing Need","Housing Standards"
