"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"13328",2006-07-01,"2006","Below Affordability Standard",1835,"Core Housing Need","Housing Standards"
"13328",2006-07-01,"2006","Below Adequacy Standard",1355,"Core Housing Need","Housing Standards"
"13328",2006-07-01,"2006","Below Suitability Standard",335,"Core Housing Need","Housing Standards"
"13328",2006-07-01,"2006","Below One or More Housing Standards",3160,"Core Housing Need","Housing Standards"
"13328",2006-07-01,"2006","Above Standards",9415,"Core Housing Need","Housing Standards"
"13328",2006-07-01,"2006","Total",12575,"Core Housing Need","Housing Standards"
"13328",2011-07-01,"2011","Below Affordability Standard",2030,"Core Housing Need","Housing Standards"
"13328",2011-07-01,"2011","Below Adequacy Standard",1545,"Core Housing Need","Housing Standards"
"13328",2011-07-01,"2011","Below Suitability Standard",315,"Core Housing Need","Housing Standards"
"13328",2011-07-01,"2011","Below One or More Housing Standards",3525,"Core Housing Need","Housing Standards"
"13328",2011-07-01,"2011","Above Standards",10545,"Core Housing Need","Housing Standards"
"13328",2011-07-01,"2011","Total",14075,"Core Housing Need","Housing Standards"
"13328",2016-07-01,"2016","Below Affordability Standard",2020,"Core Housing Need","Housing Standards"
"13328",2016-07-01,"2016","Below Adequacy Standard",1115,"Core Housing Need","Housing Standards"
"13328",2016-07-01,"2016","Below Suitability Standard",175,"Core Housing Need","Housing Standards"
"13328",2016-07-01,"2016","Below One or More Housing Standards",3020,"Core Housing Need","Housing Standards"
"13328",2016-07-01,"2016","Above Standards",10580,"Core Housing Need","Housing Standards"
"13328",2016-07-01,"2016","Total",13605,"Core Housing Need","Housing Standards"
"13328",2021-07-01,"2021","Below Affordability Standard",1690,"Core Housing Need","Housing Standards"
"13328",2021-07-01,"2021","Below Adequacy Standard",1020,"Core Housing Need","Housing Standards"
"13328",2021-07-01,"2021","Below Suitability Standard",265,"Core Housing Need","Housing Standards"
"13328",2021-07-01,"2021","Below One or More Housing Standards",2800,"Core Housing Need","Housing Standards"
"13328",2021-07-01,"2021","Above Standards",11405,"Core Housing Need","Housing Standards"
"13328",2021-07-01,"2021","Total",14205,"Core Housing Need","Housing Standards"
