"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35546",2006-07-01,"2006","Below Affordability Standard",1215,"Core Housing Need","Housing Standards"
"35546",2006-07-01,"2006","Below Adequacy Standard",325,"Core Housing Need","Housing Standards"
"35546",2006-07-01,"2006","Below Suitability Standard",230,"Core Housing Need","Housing Standards"
"35546",2006-07-01,"2006","Below One or More Housing Standards",1590,"Core Housing Need","Housing Standards"
"35546",2006-07-01,"2006","Above Standards",4650,"Core Housing Need","Housing Standards"
"35546",2006-07-01,"2006","Total",6240,"Core Housing Need","Housing Standards"
"35546",2011-07-01,"2011","Below Affordability Standard",1270,"Core Housing Need","Housing Standards"
"35546",2011-07-01,"2011","Below Adequacy Standard",260,"Core Housing Need","Housing Standards"
"35546",2011-07-01,"2011","Below Suitability Standard",295,"Core Housing Need","Housing Standards"
"35546",2011-07-01,"2011","Below One or More Housing Standards",1695,"Core Housing Need","Housing Standards"
"35546",2011-07-01,"2011","Above Standards",4950,"Core Housing Need","Housing Standards"
"35546",2011-07-01,"2011","Total",6640,"Core Housing Need","Housing Standards"
"35546",2016-07-01,"2016","Below Affordability Standard",1480,"Core Housing Need","Housing Standards"
"35546",2016-07-01,"2016","Below Adequacy Standard",350,"Core Housing Need","Housing Standards"
"35546",2016-07-01,"2016","Below Suitability Standard",155,"Core Housing Need","Housing Standards"
"35546",2016-07-01,"2016","Below One or More Housing Standards",1825,"Core Housing Need","Housing Standards"
"35546",2016-07-01,"2016","Above Standards",5165,"Core Housing Need","Housing Standards"
"35546",2016-07-01,"2016","Total",6985,"Core Housing Need","Housing Standards"
"35546",2021-07-01,"2021","Below Affordability Standard",1320,"Core Housing Need","Housing Standards"
"35546",2021-07-01,"2021","Below Adequacy Standard",280,"Core Housing Need","Housing Standards"
"35546",2021-07-01,"2021","Below Suitability Standard",255,"Core Housing Need","Housing Standards"
"35546",2021-07-01,"2021","Below One or More Housing Standards",1760,"Core Housing Need","Housing Standards"
"35546",2021-07-01,"2021","Above Standards",6305,"Core Housing Need","Housing Standards"
"35546",2021-07-01,"2021","Total",8065,"Core Housing Need","Housing Standards"
