"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"35533",2006-07-01,"2006","Below Affordability Standard",40.4,"Core Housing Need","Housing Standards"
"35533",2006-07-01,"2006","Below Adequacy Standard",10.8,"Core Housing Need","Housing Standards"
"35533",2006-07-01,"2006","Below Suitability Standard",21.8,"Core Housing Need","Housing Standards"
"35533",2006-07-01,"2006","Below One or More Housing Standards",30.6,"Core Housing Need","Housing Standards"
"35533",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35533",2006-07-01,"2006","Total",7.9,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Below Affordability Standard",46.6,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Below Adequacy Standard",12.5,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Below Suitability Standard",22.2,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Below One or More Housing Standards",32.8,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Total",8.1,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Below Affordability Standard",50.9,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Below Adequacy Standard",25.6,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Below Suitability Standard",20,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Below One or More Housing Standards",37.4,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Total",9.1,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Below Affordability Standard",19.2,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Below Adequacy Standard",4.6,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Below One or More Housing Standards",13,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Total",3,"Core Housing Need","Housing Standards"
