"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35521",2006-07-01,"2006","Below Affordability Standard",13655,"Core Housing Need","Housing Standards"
"35521",2006-07-01,"2006","Below Adequacy Standard",4060,"Core Housing Need","Housing Standards"
"35521",2006-07-01,"2006","Below Suitability Standard",1865,"Core Housing Need","Housing Standards"
"35521",2006-07-01,"2006","Below One or More Housing Standards",17445,"Core Housing Need","Housing Standards"
"35521",2006-07-01,"2006","Above Standards",41855,"Core Housing Need","Housing Standards"
"35521",2006-07-01,"2006","Total",59300,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Below Affordability Standard",14330,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Below Adequacy Standard",4500,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Below Suitability Standard",2540,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Below One or More Housing Standards",19115,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Above Standards",43345,"Core Housing Need","Housing Standards"
"35521",2011-07-01,"2011","Total",62465,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Below Affordability Standard",15435,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Below Adequacy Standard",3875,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Below Suitability Standard",1810,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Below One or More Housing Standards",19275,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Above Standards",46050,"Core Housing Need","Housing Standards"
"35521",2016-07-01,"2016","Total",65325,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Below Affordability Standard",14825,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Below Adequacy Standard",4835,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Below Suitability Standard",2480,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Below One or More Housing Standards",20140,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Above Standards",51045,"Core Housing Need","Housing Standards"
"35521",2021-07-01,"2021","Total",71190,"Core Housing Need","Housing Standards"
