"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35556",2006-07-01,"2006","Below Affordability Standard",8020,"Core Housing Need","Housing Standards"
"35556",2006-07-01,"2006","Below Adequacy Standard",3070,"Core Housing Need","Housing Standards"
"35556",2006-07-01,"2006","Below Suitability Standard",1515,"Core Housing Need","Housing Standards"
"35556",2006-07-01,"2006","Below One or More Housing Standards",11265,"Core Housing Need","Housing Standards"
"35556",2006-07-01,"2006","Above Standards",30140,"Core Housing Need","Housing Standards"
"35556",2006-07-01,"2006","Total",41405,"Core Housing Need","Housing Standards"
"35556",2011-07-01,"2011","Below Affordability Standard",8165,"Core Housing Need","Housing Standards"
"35556",2011-07-01,"2011","Below Adequacy Standard",2845,"Core Housing Need","Housing Standards"
"35556",2011-07-01,"2011","Below Suitability Standard",1650,"Core Housing Need","Housing Standards"
"35556",2011-07-01,"2011","Below One or More Housing Standards",11420,"Core Housing Need","Housing Standards"
"35556",2011-07-01,"2011","Above Standards",28665,"Core Housing Need","Housing Standards"
"35556",2011-07-01,"2011","Total",40085,"Core Housing Need","Housing Standards"
"35556",2016-07-01,"2016","Below Affordability Standard",8005,"Core Housing Need","Housing Standards"
"35556",2016-07-01,"2016","Below Adequacy Standard",3105,"Core Housing Need","Housing Standards"
"35556",2016-07-01,"2016","Below Suitability Standard",1170,"Core Housing Need","Housing Standards"
"35556",2016-07-01,"2016","Below One or More Housing Standards",11115,"Core Housing Need","Housing Standards"
"35556",2016-07-01,"2016","Above Standards",29665,"Core Housing Need","Housing Standards"
"35556",2016-07-01,"2016","Total",40780,"Core Housing Need","Housing Standards"
"35556",2021-07-01,"2021","Below Affordability Standard",6245,"Core Housing Need","Housing Standards"
"35556",2021-07-01,"2021","Below Adequacy Standard",3060,"Core Housing Need","Housing Standards"
"35556",2021-07-01,"2021","Below Suitability Standard",1490,"Core Housing Need","Housing Standards"
"35556",2021-07-01,"2021","Below One or More Housing Standards",9830,"Core Housing Need","Housing Standards"
"35556",2021-07-01,"2021","Above Standards",32460,"Core Housing Need","Housing Standards"
"35556",2021-07-01,"2021","Total",42290,"Core Housing Need","Housing Standards"
