"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"47750",2006-07-01,"2006","Below Affordability Standard",45.4,"Core Housing Need","Housing Standards"
"47750",2006-07-01,"2006","Below Adequacy Standard",7.7,"Core Housing Need","Housing Standards"
"47750",2006-07-01,"2006","Below Suitability Standard",9.3,"Core Housing Need","Housing Standards"
"47750",2006-07-01,"2006","Below One or More Housing Standards",30.6,"Core Housing Need","Housing Standards"
"47750",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"47750",2006-07-01,"2006","Total",6.8,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Below Affordability Standard",40.9,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Below Adequacy Standard",7.1,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Below Suitability Standard",5.9,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Below One or More Housing Standards",21,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"47750",2011-07-01,"2011","Total",5.4,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Below Affordability Standard",42.7,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Below Adequacy Standard",10.9,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Below Suitability Standard",15.6,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Below One or More Housing Standards",28.1,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"47750",2016-07-01,"2016","Total",6,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Below Affordability Standard",22,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Below Adequacy Standard",8.5,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Below One or More Housing Standards",14.7,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"47750",2021-07-01,"2021","Total",3,"Core Housing Need","Housing Standards"
