"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35502",2006-07-01,"2006","Below Affordability Standard",1620,"Core Housing Need","Housing Standards"
"35502",2006-07-01,"2006","Below Adequacy Standard",465,"Core Housing Need","Housing Standards"
"35502",2006-07-01,"2006","Below Suitability Standard",240,"Core Housing Need","Housing Standards"
"35502",2006-07-01,"2006","Below One or More Housing Standards",2010,"Core Housing Need","Housing Standards"
"35502",2006-07-01,"2006","Above Standards",3190,"Core Housing Need","Housing Standards"
"35502",2006-07-01,"2006","Total",5210,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Below Affordability Standard",1610,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Below Adequacy Standard",395,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Below Suitability Standard",220,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Below One or More Housing Standards",1960,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Above Standards",3500,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Total",5460,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Below Affordability Standard",1790,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Below Adequacy Standard",480,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Below Suitability Standard",140,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Below One or More Housing Standards",2160,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Above Standards",3455,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Total",5615,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Below Affordability Standard",1205,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Below Adequacy Standard",475,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Below Suitability Standard",170,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Below One or More Housing Standards",1650,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Above Standards",4265,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Total",5915,"Core Housing Need","Housing Standards"
