"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"35567",2006-07-01,"2006","Below Affordability Standard",51.9,"Core Housing Need","Housing Standards"
"35567",2006-07-01,"2006","Below Adequacy Standard",21.4,"Core Housing Need","Housing Standards"
"35567",2006-07-01,"2006","Below Suitability Standard",25.2,"Core Housing Need","Housing Standards"
"35567",2006-07-01,"2006","Below One or More Housing Standards",42.8,"Core Housing Need","Housing Standards"
"35567",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35567",2006-07-01,"2006","Total",15.7,"Core Housing Need","Housing Standards"
"35567",2011-07-01,"2011","Below Affordability Standard",56.7,"Core Housing Need","Housing Standards"
"35567",2011-07-01,"2011","Below Adequacy Standard",31.4,"Core Housing Need","Housing Standards"
"35567",2011-07-01,"2011","Below Suitability Standard",43.4,"Core Housing Need","Housing Standards"
"35567",2011-07-01,"2011","Below One or More Housing Standards",49.5,"Core Housing Need","Housing Standards"
"35567",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35567",2011-07-01,"2011","Total",16.5,"Core Housing Need","Housing Standards"
"35567",2016-07-01,"2016","Below Affordability Standard",56.6,"Core Housing Need","Housing Standards"
"35567",2016-07-01,"2016","Below Adequacy Standard",36.9,"Core Housing Need","Housing Standards"
"35567",2016-07-01,"2016","Below Suitability Standard",25,"Core Housing Need","Housing Standards"
"35567",2016-07-01,"2016","Below One or More Housing Standards",50.8,"Core Housing Need","Housing Standards"
"35567",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35567",2016-07-01,"2016","Total",17.3,"Core Housing Need","Housing Standards"
"35567",2021-07-01,"2021","Below Affordability Standard",47.7,"Core Housing Need","Housing Standards"
"35567",2021-07-01,"2021","Below Adequacy Standard",33.3,"Core Housing Need","Housing Standards"
"35567",2021-07-01,"2021","Below Suitability Standard",13.3,"Core Housing Need","Housing Standards"
"35567",2021-07-01,"2021","Below One or More Housing Standards",41.6,"Core Housing Need","Housing Standards"
"35567",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35567",2021-07-01,"2021","Total",12.4,"Core Housing Need","Housing Standards"
