"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"24403",2006-07-01,"2006","Below Affordability Standard",44.7,"Core Housing Need","Housing Standards"
"24403",2006-07-01,"2006","Below Adequacy Standard",21.9,"Core Housing Need","Housing Standards"
"24403",2006-07-01,"2006","Below Suitability Standard",19.3,"Core Housing Need","Housing Standards"
"24403",2006-07-01,"2006","Below One or More Housing Standards",31.2,"Core Housing Need","Housing Standards"
"24403",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24403",2006-07-01,"2006","Total",7.8,"Core Housing Need","Housing Standards"
"24403",2011-07-01,"2011","Below Affordability Standard",41.5,"Core Housing Need","Housing Standards"
"24403",2011-07-01,"2011","Below Adequacy Standard",24,"Core Housing Need","Housing Standards"
"24403",2011-07-01,"2011","Below Suitability Standard",14.4,"Core Housing Need","Housing Standards"
"24403",2011-07-01,"2011","Below One or More Housing Standards",31.9,"Core Housing Need","Housing Standards"
"24403",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24403",2011-07-01,"2011","Total",8.4,"Core Housing Need","Housing Standards"
"24403",2016-07-01,"2016","Below Affordability Standard",33.9,"Core Housing Need","Housing Standards"
"24403",2016-07-01,"2016","Below Adequacy Standard",11.4,"Core Housing Need","Housing Standards"
"24403",2016-07-01,"2016","Below Suitability Standard",10.5,"Core Housing Need","Housing Standards"
"24403",2016-07-01,"2016","Below One or More Housing Standards",24.9,"Core Housing Need","Housing Standards"
"24403",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"24403",2016-07-01,"2016","Total",5.5,"Core Housing Need","Housing Standards"
"24403",2021-07-01,"2021","Below Affordability Standard",23.5,"Core Housing Need","Housing Standards"
"24403",2021-07-01,"2021","Below Adequacy Standard",7.4,"Core Housing Need","Housing Standards"
"24403",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"24403",2021-07-01,"2021","Below One or More Housing Standards",15.4,"Core Housing Need","Housing Standards"
"24403",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"24403",2021-07-01,"2021","Total",2.8,"Core Housing Need","Housing Standards"
