"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"48840",2006-07-01,"2006","Below Affordability Standard",38.5,"Core Housing Need","Housing Standards"
"48840",2006-07-01,"2006","Below Adequacy Standard",17.4,"Core Housing Need","Housing Standards"
"48840",2006-07-01,"2006","Below Suitability Standard",14.5,"Core Housing Need","Housing Standards"
"48840",2006-07-01,"2006","Below One or More Housing Standards",26.9,"Core Housing Need","Housing Standards"
"48840",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"48840",2006-07-01,"2006","Total",6.4,"Core Housing Need","Housing Standards"
"48840",2011-07-01,"2011","Below Affordability Standard",44.9,"Core Housing Need","Housing Standards"
"48840",2011-07-01,"2011","Below Adequacy Standard",20.3,"Core Housing Need","Housing Standards"
"48840",2011-07-01,"2011","Below Suitability Standard",16.1,"Core Housing Need","Housing Standards"
"48840",2011-07-01,"2011","Below One or More Housing Standards",33.3,"Core Housing Need","Housing Standards"
"48840",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"48840",2011-07-01,"2011","Total",8.7,"Core Housing Need","Housing Standards"
"48840",2016-07-01,"2016","Below Affordability Standard",51.6,"Core Housing Need","Housing Standards"
"48840",2016-07-01,"2016","Below Adequacy Standard",19.1,"Core Housing Need","Housing Standards"
"48840",2016-07-01,"2016","Below Suitability Standard",39.2,"Core Housing Need","Housing Standards"
"48840",2016-07-01,"2016","Below One or More Housing Standards",41.9,"Core Housing Need","Housing Standards"
"48840",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"48840",2016-07-01,"2016","Total",10.4,"Core Housing Need","Housing Standards"
"48840",2021-07-01,"2021","Below Affordability Standard",47.5,"Core Housing Need","Housing Standards"
"48840",2021-07-01,"2021","Below Adequacy Standard",14.3,"Core Housing Need","Housing Standards"
"48840",2021-07-01,"2021","Below Suitability Standard",15.7,"Core Housing Need","Housing Standards"
"48840",2021-07-01,"2021","Below One or More Housing Standards",36.7,"Core Housing Need","Housing Standards"
"48840",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"48840",2021-07-01,"2021","Total",9,"Core Housing Need","Housing Standards"
