"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"13305",2006-07-01,"2006","Below Affordability Standard",52.4,"Core Housing Need","Housing Standards"
"13305",2006-07-01,"2006","Below Adequacy Standard",22.6,"Core Housing Need","Housing Standards"
"13305",2006-07-01,"2006","Below Suitability Standard",24.1,"Core Housing Need","Housing Standards"
"13305",2006-07-01,"2006","Below One or More Housing Standards",41.1,"Core Housing Need","Housing Standards"
"13305",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"13305",2006-07-01,"2006","Total",10.8,"Core Housing Need","Housing Standards"
"13305",2011-07-01,"2011","Below Affordability Standard",47.5,"Core Housing Need","Housing Standards"
"13305",2011-07-01,"2011","Below Adequacy Standard",13.1,"Core Housing Need","Housing Standards"
"13305",2011-07-01,"2011","Below Suitability Standard",21.4,"Core Housing Need","Housing Standards"
"13305",2011-07-01,"2011","Below One or More Housing Standards",37.2,"Core Housing Need","Housing Standards"
"13305",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"13305",2011-07-01,"2011","Total",9.5,"Core Housing Need","Housing Standards"
"13305",2016-07-01,"2016","Below Affordability Standard",45.6,"Core Housing Need","Housing Standards"
"13305",2016-07-01,"2016","Below Adequacy Standard",22.1,"Core Housing Need","Housing Standards"
"13305",2016-07-01,"2016","Below Suitability Standard",24.5,"Core Housing Need","Housing Standards"
"13305",2016-07-01,"2016","Below One or More Housing Standards",36.9,"Core Housing Need","Housing Standards"
"13305",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"13305",2016-07-01,"2016","Total",8.9,"Core Housing Need","Housing Standards"
"13305",2021-07-01,"2021","Below Affordability Standard",44.2,"Core Housing Need","Housing Standards"
"13305",2021-07-01,"2021","Below Adequacy Standard",19.3,"Core Housing Need","Housing Standards"
"13305",2021-07-01,"2021","Below Suitability Standard",9.2,"Core Housing Need","Housing Standards"
"13305",2021-07-01,"2021","Below One or More Housing Standards",32.8,"Core Housing Need","Housing Standards"
"13305",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"13305",2021-07-01,"2021","Total",7.5,"Core Housing Need","Housing Standards"
