"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35550",2006-07-01,"2006","Below Affordability Standard",10110,"Core Housing Need","Housing Standards"
"35550",2006-07-01,"2006","Below Adequacy Standard",2395,"Core Housing Need","Housing Standards"
"35550",2006-07-01,"2006","Below Suitability Standard",2265,"Core Housing Need","Housing Standards"
"35550",2006-07-01,"2006","Below One or More Housing Standards",13510,"Core Housing Need","Housing Standards"
"35550",2006-07-01,"2006","Above Standards",33475,"Core Housing Need","Housing Standards"
"35550",2006-07-01,"2006","Total",46985,"Core Housing Need","Housing Standards"
"35550",2011-07-01,"2011","Below Affordability Standard",11545,"Core Housing Need","Housing Standards"
"35550",2011-07-01,"2011","Below Adequacy Standard",2700,"Core Housing Need","Housing Standards"
"35550",2011-07-01,"2011","Below Suitability Standard",2975,"Core Housing Need","Housing Standards"
"35550",2011-07-01,"2011","Below One or More Housing Standards",15690,"Core Housing Need","Housing Standards"
"35550",2011-07-01,"2011","Above Standards",36685,"Core Housing Need","Housing Standards"
"35550",2011-07-01,"2011","Total",52370,"Core Housing Need","Housing Standards"
"35550",2016-07-01,"2016","Below Affordability Standard",12095,"Core Housing Need","Housing Standards"
"35550",2016-07-01,"2016","Below Adequacy Standard",2810,"Core Housing Need","Housing Standards"
"35550",2016-07-01,"2016","Below Suitability Standard",2150,"Core Housing Need","Housing Standards"
"35550",2016-07-01,"2016","Below One or More Housing Standards",15755,"Core Housing Need","Housing Standards"
"35550",2016-07-01,"2016","Above Standards",41490,"Core Housing Need","Housing Standards"
"35550",2016-07-01,"2016","Total",57245,"Core Housing Need","Housing Standards"
"35550",2021-07-01,"2021","Below Affordability Standard",12800,"Core Housing Need","Housing Standards"
"35550",2021-07-01,"2021","Below Adequacy Standard",2935,"Core Housing Need","Housing Standards"
"35550",2021-07-01,"2021","Below Suitability Standard",3245,"Core Housing Need","Housing Standards"
"35550",2021-07-01,"2021","Below One or More Housing Standards",17340,"Core Housing Need","Housing Standards"
"35550",2021-07-01,"2021","Above Standards",45190,"Core Housing Need","Housing Standards"
"35550",2021-07-01,"2021","Total",62530,"Core Housing Need","Housing Standards"
