"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"35575",2006-07-01,"2006","Below Affordability Standard",3580,"Core Housing Need","Housing Standards"
"35575",2006-07-01,"2006","Below Adequacy Standard",645,"Core Housing Need","Housing Standards"
"35575",2006-07-01,"2006","Below Suitability Standard",270,"Core Housing Need","Housing Standards"
"35575",2006-07-01,"2006","Below One or More Housing Standards",3795,"Core Housing Need","Housing Standards"
"35575",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35575",2006-07-01,"2006","Total",3795,"Core Housing Need","Housing Standards"
"35575",2011-07-01,"2011","Below Affordability Standard",3155,"Core Housing Need","Housing Standards"
"35575",2011-07-01,"2011","Below Adequacy Standard",525,"Core Housing Need","Housing Standards"
"35575",2011-07-01,"2011","Below Suitability Standard",155,"Core Housing Need","Housing Standards"
"35575",2011-07-01,"2011","Below One or More Housing Standards",3315,"Core Housing Need","Housing Standards"
"35575",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35575",2011-07-01,"2011","Total",3315,"Core Housing Need","Housing Standards"
"35575",2016-07-01,"2016","Below Affordability Standard",4255,"Core Housing Need","Housing Standards"
"35575",2016-07-01,"2016","Below Adequacy Standard",655,"Core Housing Need","Housing Standards"
"35575",2016-07-01,"2016","Below Suitability Standard",215,"Core Housing Need","Housing Standards"
"35575",2016-07-01,"2016","Below One or More Housing Standards",4490,"Core Housing Need","Housing Standards"
"35575",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35575",2016-07-01,"2016","Total",4490,"Core Housing Need","Housing Standards"
"35575",2021-07-01,"2021","Below Affordability Standard",2725,"Core Housing Need","Housing Standards"
"35575",2021-07-01,"2021","Below Adequacy Standard",365,"Core Housing Need","Housing Standards"
"35575",2021-07-01,"2021","Below Suitability Standard",130,"Core Housing Need","Housing Standards"
"35575",2021-07-01,"2021","Below One or More Housing Standards",2900,"Core Housing Need","Housing Standards"
"35575",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35575",2021-07-01,"2021","Total",2900,"Core Housing Need","Housing Standards"
