"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"46607",2006-07-01,"2006","Below Affordability Standard",985,"Core Housing Need","Housing Standards"
"46607",2006-07-01,"2006","Below Adequacy Standard",675,"Core Housing Need","Housing Standards"
"46607",2006-07-01,"2006","Below Suitability Standard",295,"Core Housing Need","Housing Standards"
"46607",2006-07-01,"2006","Below One or More Housing Standards",1720,"Core Housing Need","Housing Standards"
"46607",2006-07-01,"2006","Above Standards",5310,"Core Housing Need","Housing Standards"
"46607",2006-07-01,"2006","Total",7030,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Below Affordability Standard",945,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Below Adequacy Standard",365,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Below Suitability Standard",230,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Below One or More Housing Standards",1415,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Above Standards",3805,"Core Housing Need","Housing Standards"
"46607",2011-07-01,"2011","Total",5220,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Below Affordability Standard",845,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Below Adequacy Standard",530,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Below Suitability Standard",275,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Below One or More Housing Standards",1455,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Above Standards",4005,"Core Housing Need","Housing Standards"
"46607",2016-07-01,"2016","Total",5460,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Below Affordability Standard",875,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Below Adequacy Standard",400,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Below Suitability Standard",265,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Below One or More Housing Standards",1425,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Above Standards",4125,"Core Housing Need","Housing Standards"
"46607",2021-07-01,"2021","Total",5550,"Core Housing Need","Housing Standards"
