"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"47745",2006-07-01,"2006","Below Affordability Standard",49,"Core Housing Need","Housing Standards"
"47745",2006-07-01,"2006","Below Adequacy Standard",29,"Core Housing Need","Housing Standards"
"47745",2006-07-01,"2006","Below Suitability Standard",14.7,"Core Housing Need","Housing Standards"
"47745",2006-07-01,"2006","Below One or More Housing Standards",34.5,"Core Housing Need","Housing Standards"
"47745",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"47745",2006-07-01,"2006","Total",10.9,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Below Affordability Standard",60.8,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Below Adequacy Standard",45.5,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Below Suitability Standard",28.4,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Below One or More Housing Standards",45,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Total",14.2,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Below Affordability Standard",63.4,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Below Adequacy Standard",20.1,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Below Suitability Standard",36,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Below One or More Housing Standards",47.2,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Total",14.2,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Below Affordability Standard",54.5,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Below Adequacy Standard",13,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Below Suitability Standard",16.3,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Below One or More Housing Standards",34.8,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Total",9.7,"Core Housing Need","Housing Standards"
