"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"47755",2006-07-01,"2006","Below Affordability Standard",175,"Core Housing Need","Housing Standards"
"47755",2006-07-01,"2006","Below Adequacy Standard",35,"Core Housing Need","Housing Standards"
"47755",2006-07-01,"2006","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"47755",2006-07-01,"2006","Below One or More Housing Standards",185,"Core Housing Need","Housing Standards"
"47755",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"47755",2006-07-01,"2006","Total",185,"Core Housing Need","Housing Standards"
"47755",2011-07-01,"2011","Below Affordability Standard",305,"Core Housing Need","Housing Standards"
"47755",2011-07-01,"2011","Below Adequacy Standard",0,"Core Housing Need","Housing Standards"
"47755",2011-07-01,"2011","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"47755",2011-07-01,"2011","Below One or More Housing Standards",320,"Core Housing Need","Housing Standards"
"47755",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"47755",2011-07-01,"2011","Total",320,"Core Housing Need","Housing Standards"
"47755",2016-07-01,"2016","Below Affordability Standard",380,"Core Housing Need","Housing Standards"
"47755",2016-07-01,"2016","Below Adequacy Standard",45,"Core Housing Need","Housing Standards"
"47755",2016-07-01,"2016","Below Suitability Standard",10,"Core Housing Need","Housing Standards"
"47755",2016-07-01,"2016","Below One or More Housing Standards",400,"Core Housing Need","Housing Standards"
"47755",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"47755",2016-07-01,"2016","Total",400,"Core Housing Need","Housing Standards"
"47755",2021-07-01,"2021","Below Affordability Standard",275,"Core Housing Need","Housing Standards"
"47755",2021-07-01,"2021","Below Adequacy Standard",30,"Core Housing Need","Housing Standards"
"47755",2021-07-01,"2021","Below Suitability Standard",20,"Core Housing Need","Housing Standards"
"47755",2021-07-01,"2021","Below One or More Housing Standards",285,"Core Housing Need","Housing Standards"
"47755",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"47755",2021-07-01,"2021","Total",285,"Core Housing Need","Housing Standards"
